Table,11.42 - Employment and basic indicators in financial intermediary institutions by economic activity
Indicator,Production value (Uretim degeri) - Turkish Lira
Source,TurkStat Financial Intermediary Institution Statistics
NACE_Code,Description_EN,2002,2003,2004,2005,2006,2007,2008,2009,2010
K,Financial and insurance activities,20310941991,25874931517,29781756171,34624864429,42528680082,44859336303,51137841573,76897541033,74900763691
64,Financial service activities (except insurance and pension funding),18073688005,22745355706,25872104655,30283428759,36253051612,37279800277,43478839408,68178697301,63010513003
64.11+64.19,"Monetary intermediation (central bank, commercial banks, special finance houses)",14729810805,19842057090,22238843377,26991393558,33369422666,33662481745,39080229000,61859161058,56255872630
64.91,Financial leasing companies,892604212,925140266,957276110,494093272,644550000,831762000,1002914000,984535000,988431000
64.92,Other Credit Granting,,,,,,,,949297318,966557524
64.99,"Other Financial Service Activities n.e.c. (Banks of Development and Investment, Factoring, Asset Management etc.)",,,,,,,,4385703925,4799651849
64.92+64.99 (2002-2008),"Other credit granting and other financial service activities n.e.c. (agricultural credit cooperatives, banks of development and investment, factoring)",2451272988,1978158350,2675985168,2797941929,2239078946,2785556532,3395696408,,
65,Insurance reinsurance and pension funding (except compulsory social security),1096869149,1402716069,1703781406,2025121357,3934029526,4917988700,5098099705,4890702651,6775881657
65.11,Life insurance,390387733,470147318,623755472,878898002,650557289,1197651421,985731222,1180367430,1553119170
65.12+65.20,Non-life insurance and reinsurance,706481416,932568751,1080025934,1146223355,3283472237,3720337279,4112368483,3710335221,5222762487
66,Activities auxiliary to financial services and insurance activities,1140384837,1726859742,2205870110,2316314313,2341598944,2661547326,2560902460,3828141081,5114369031
66.11,Administration of Financial Markets (Stock Markets),,,,,,,,160883235,194115035
66.12,"Security and commodity contracts brokerage (mutual funds companies and foreign exchange offices)",689012859,877722890,1128784304,1181863459,989748147,1162058813,894627297,1002194347,1211118574
66.19,"Other activities auxiliary to financial services (except insurance and pension funding) (credit surety cooperatives)",,299372760,307803242,202842064,250047503,346511007,186494671,208726464,280603485
66.21,Risk and Damage Evaluation (Insurance Experts),,,,,,,,153541730,182103066
66.22,Activities of insurance agents and brokers (insurance agents - legal entity),451371978,549764092,769282564,931608790,1101803294,1152977506,1479780492,2116596909,3049490958
66.30,Fund management activities (portfolio management companies),,,,,,,,186198396,196937913
