table_number,table_name,source_chunk,pages,unit,methodology
20.33,Final consumption expenditure of resident and non-resident households on economic territory [At current prices],chunk_026,"766",Billion TL,ESA-95
notes,"2005-2008 data in Thousand TRY. From 1.1.2009 TRY expression changed to TL."

Year,Total_HH_Domestic_Consumption,Food_Beverages_Tobacco,Clothing_Footwear,Housing_Water_Electricity_Gas,Furnishing_HH_Equipment_Maintenance,Health,Transport_Communication,Recreation_Culture,Education,Restaurants_Hotels,Miscellaneous_GoodsServices
1998,49694150,15030838,5980143,5382855,4655046,1283100,7079781,2929786,332127,3272651,3747824
1999,74994397,21594962,6908830,10798504,6615353,2256267,11658203,3907164,583261,4403828,6268023
2000,124767959,33055531,10851844,19654749,10377319,3872675,21877991,6402344,942741,7819597,9913168
2001,179986710,48854780,15860492,30290919,13611829,6358249,29017478,8253116,1351040,11517079,14871729
2002,259441149,72863508,23511625,42114049,18931366,9622740,43669843,12438450,2262001,16031265,17996302
2003,345722739,98080388,32646831,54681334,25051003,12223879,61164418,15575563,3098928,19759989,23440406
2004,423619916,113674409,38475249,67064340,31408716,15374508,76494453,21001714,4293801,25548845,30283881
2005,490692217,130660500,35974917,81981688,40236590,18972774,90608811,24169846,5771305,29212583,33103203
2006,564897493,145615509,37498147,100251987,45720439,22931122,105700541,26317547,7098206,34360989,39403008
2007,628733500,160435615,38985579,119516853,48989454,25596374,115682219,26564291,8199275,37753155,47010685
2008,695619985,179874879,39987590,141244640,49848475,28480651,128587523,27420406,8887621,41617885,49670316
2009,714245241,187803397,36995705,157021656,49182999,27875079,124478178,29282381,9340585,46034919,46230342
2010,819223624,221393936,43747710,168482765,59091022,29628997,152490478,31288427,9979200,50418899,52702189
2011,961858650,255275572,51664126,180940170,75977255,31062463,187791684,37165840,11511375,59081109,71389057
