Table 20.10 (part B / continued) - Gross National Product by Kind of Economic Activity [At 1948 Prices]
Source: TurkStat Statistical Indicators 1923-2011, pages 718-719
Unit: Million TL (Milyon TL)
Note: Columns 7-17. Col12 (Private non-profit institutions) shown as "-" for all years (not separately recorded in this price series).

Year,Col7_Ownership_of_Dwelling,Col8_Business_Personal_Services,Col9_Less_Imputed_Bank_Services,Col10_Sectoral_Total,Col11_Government_Services,Col12_Private_Nonprofit_Institutions,Col13_Total,Col14_Import_Duties,Col15_GDP_Purchasers_Prices,Col16_Net_Factor_Income_RoW,Col17_GNP_Purchasers_Prices
1923,505,151,10,2624,232,,2856,103,2959,-31,2929
1924,517,174,14,3066,215,,3281,111,3392,-28,3364
1925,529,193,29,3334,317,,3651,167,3817,-24,3793
1926,541,230,42,4040,293,,4333,180,4512,-28,4484
1927,554,199,57,3443,312,,3756,181,3937,-28,3910
1928,567,220,51,3826,328,,4154,208,4362,-20,4341
1929,581,270,59,4775,328,,5103,197,5301,-23,5278
1930,596,276,57,4778,430,,5209,222,5431,-37,5394
1931,610,300,70,5214,458,,5672,206,5877,-12,5866
1932,625,265,64,4492,519,,5011,241,5253,-17,5235
1933,641,308,60,5219,603,,5822,244,6065,-1,6064
1934,657,328,65,5551,633,,6184,264,6447,-18,6430
1935,672,317,57,5372,617,,5989,263,6252,-19,6234
1936,686,393,63,6823,601,,7425,270,7694,-15,7680
1937,701,398,51,6889,627,,7516,295,7811,-12,7798
1938,717,437,74,7536,710,,8247,303,8550,-12,8538
1939,742,473,80,8010,911,,8921,219,9139,-12,9128
1940,765,455,64,7662,927,,8588,114,8702,-24,8678
1941,776,408,53,6856,837,,7693,107,7800,-20,7780
1942,788,431,34,7468,665,,8132,98,8230,-13,8217
1943,799,388,18,6927,404,,7331,93,7424,-11,7413
1944,811,371,26,6417,578,,6995,53,7047,-9,7038
1945,826,313,37,5411,500,,5910,60,5970,-10,5960
1946,849,413,46,7279,523,,7802,83,7885,-21,7864
1947,872,417,55,7127,746,,7873,339,8212,-19,8192
