Table_Reference,Turkish_Title,English_Title
1.22,"Cinsiyete göre nüfusun okuryazarlık oranı (ADNKS) [6 ve daha yukarı yaştaki nüfus]","Literacy rate of population by sex (ABPRS) [Population 6 years of age and over]"
Units: Percent (%)

Year,Sex,Literate_Rate,Illiterate_Rate
2008,Male,96.70,3.30
2009,Male,97.04,2.96
2010,Male,97.79,2.21
2011,Male,98.30,1.70
2008,Female,86.91,13.09
2009,Female,87.90,12.10
2010,Female,90.13,9.87
2011,Female,91.94,8.06

Source: Results of Address Based Population Registration System
Notes: Proportions exclude unknown. Foreigners not included.
