table_number,table_name,source_chunk,pages,unit,methodology
20.31,GDP growth rate by expenditure approach ESA-95 [At current prices],chunk_026,"764",Percent (%),ESA-95

Year,Resident_HH_Consumption_pct,Resident_NonResident_HH_Domestic_Consumption_pct,Resident_HH_Abroad_Consumption_pct,Less_NonResident_HH_Domestic_Consumption_pct,Govt_Final_Consumption_pct,Govt_CompensationEmployees_pct,Govt_PurchasesGoodsServices_pct,GFCF_Total_pct,GFCF_PublicSector_pct,GFCF_PrivateSector_pct,Exports_GoodsServices_pct,Less_Imports_GoodsServices_pct,GDP_pct
1999,53.5,50.9,34.7,13.9,77.7,76.9,79.2,23.4,43.1,18.5,35.7,42.4,49.0
2000,64.0,66.4,75.1,110.4,52.8,44.9,67.0,71.6,68.2,72.6,64.7,90.8,59.3
2001,39.8,44.3,99.2,113.7,52.4,50.2,55.8,12.7,31.2,7.2,96.8,45.5,44.1
2002,45.1,44.1,35.3,34.3,49.8,48.2,52.3,53.0,49.6,54.3,34.1,47.6,45.9
2003,35.9,33.3,10.6,4.0,24.4,32.9,11.9,32.0,1.0,42.9,18.3,32.3,29.8
2004,23.0,22.5,15.0,15.4,20.4,17.9,24.7,47.0,6.4,57.0,25.9,22.9,22.9
2005,16.8,15.8,7.0,1.7,14.5,10.2,21.6,20.0,31.0,18.2,7.7,16.1,16.1
2006,14.9,15.1,2.7,33.9,22.3,15.2,32.9,23.9,20.2,24.5,21.2,11.2,16.9
2007,12.4,11.3,-6.7,12.4,15.3,13.0,18.3,6.8,11.4,6.0,9.5,10.8,11.2
2008,10.4,10.6,7.5,27.1,12.9,12.4,13.4,4.7,28.1,0.3,20.7,16.2,12.7
2009,2.5,2.7,40.4,10.1,15.1,13.2,17.4,-15.0,-3.8,-17.7,-2.3,-13.6,0.2
2010,15.7,14.7,13.1,-2.9,12.5,15.2,9.3,29.3,22.8,31.1,4.9,26.4,15.4
2011,17.2,17.4,15.1,20.3,14.7,15.5,13.7,36.1,11.9,42.5,32.2,44.1,18.1
