Table,19.9 İç borç stokuna ait bazı göstergeler (Eski seri) / Some Indicators of Domestic Debt Stock (Old Series)
Source,Hazine Müsteşarlığı / Undersecretariat of Treasury
Unit,"%, shares of total domestic debt stock"
,,,,,,
Year,GovtBonds_pct_DomDebt,TreasuryBills_pct_DomDebt,CentralBankAdv_pct_DomDebt,ConsolidatedDebt_pct_DomDebt,FX_Differences_pct_DomDebt
1980,19.6,6.8,27.0,46.6,0.0
1981,16.1,8.9,23.6,51.4,0.0
1982,13.9,11.4,19.8,54.9,0.0
1983,11.3,1.8,10.7,76.2,0.0
1984,11.5,7.3,11.4,69.8,0.0
1985,14.3,7.1,11.4,66.8,0.0
1986,14.3,7.6,10.0,67.8,0.0
1987,14.0,11.0,8.2,66.7,0.0
1988,17.2,8.8,7.3,66.6,0.0
1989,26.0,8.4,6.1,59.6,0.0
1990,32.9,9.6,5.0,52.5,0.0
1991,24.5,18.8,13.9,42.1,0.0
1992,19.2,19.7,16.0,17.8,0.0
1993,20.4,18.1,19.7,8.9,0.0
1994,4.3,38.1,15.3,16.7,0.0
1995,16.2,37.6,14.1,0.0,1.9
1996,19.2,41.9,11.8,0.0,0.0
1997,36.1,37.8,5.4,0.0,0.0
1998,32.9,49.0,0.0,0.0,0.0
1999,74.0,14.1,0.0,0.0,0.0
2000,75.2,5.6,0.0,0.0,0.0
2001,32.9,14.5,0.0,0.0,0.0
2002,34.9,24.7,0.0,0.0,0.0
2003,54.4,12.7,0.0,0.0,0.0
2004,60.3,13.5,0.0,0.0,0.0
2005,72.0,7.3,0.0,0.0,0.0
2006,79.0,3.8,0.0,0.0,0.0
