Table 20.8 (continued) - Gross National Product by Kind of Economic Activity [At Current Prices]
Source: TurkStat Statistical Indicators 1923-2011, pages 708-713
Unit: Million TL (Milyon TL)
Note: 2005 and 2006 data are in YTL (New Turkish Lira). Col 12 (Private non-profit institutions) shown as "-" for years 1923-1967 (not separately recorded).
Note: 1985 col9 value is -326622 (imputed bank services subtracted).

Year,Col7_Ownership_of_Dwelling,Col8_Business_and_Personal_Services,Col9_Less_Imputed_Bank_Services,Col10_Sectoral_Total,Col11_Government_Services,Col12_Private_Nonprofit_Institutions,Col13_Total,Col14_Import_Duties,Col15_GDP_Purchasers_Prices,Col16_Net_Factor_Income_RoW,Col17_GNP_Purchasers_Prices
1923,166,49,3,857,68,,925,40,964,-12,953
1924,181,62,4,1104,66,,1170,45,1215,-12,1204
1925,188,78,10,1363,103,,1466,71,1537,-12,1526
1926,192,84,14,1492,99,,1591,72,1662,-12,1651
1927,194,75,19,1305,104,,1410,72,1482,-11,1471
1928,200,83,18,1450,112,,1562,78,1640,-8,1633
1929,208,106,21,1889,114,,2003,79,2082,-9,2073
1930,176,81,15,1407,114,,1521,70,1591,-11,1581
1931,158,71,16,1237,104,,1340,54,1395,-3,1392
1932,146,60,13,1023,101,,1124,51,1175,-3,1171
1933,135,58,10,990,104,,1094,48,1142,0,1141
1934,144,62,12,1052,113,,1165,55,1219,-3,1216
1935,145,66,11,1133,120,,1253,60,1314,-4,1310
1936,158,86,14,1498,130,,1627,71,1698,-3,1695
1937,169,92,12,1588,141,,1729,81,1810,-3,1807
1938,168,97,16,1671,152,,1823,76,1898,-3,1896
1939,175,107,17,1813,198,,2010,56,2066,-3,2063
1940,218,126,17,2119,251,,2370,40,2410,-7,2403
1941,297,156,20,2635,315,,2950,50,3000,-8,2992
1942,552,325,25,5653,484,,6136,68,6204,-8,6196
1943,859,485,23,8651,511,,9162,78,9240,-8,9232
1944,745,352,26,6075,569,,6644,49,6692,-8,6685
1945,751,287,36,4945,476,,5421,56,5477,-8,5470
1946,745,360,42,6325,479,,6804,71,6876,-18,6858
1947,807,384,51,6558,692,,7250,312,7562,-20,7543
1948,897,491,57,8497,771,,9268,245,9513,-20,9493
1949,976,466,62,8009,798,,8807,265,9072,-18,9054
1950,1009,502,67,8632,836,,9468,246,9715,-20,9694
1951,1046,602,91,10428,886,,11314,354,11668,-24,11644
1952,1133,689,121,11959,1003,,12961,460,13421,-32,13389
1953,1235,806,159,14003,1164,,15167,471,15638,-30,15607
1954,1369,823,229,14084,1412,,15496,463,15959,-44,15915
1955,1535,994,272,17135,1548,,18683,508,19191,-74,19117
1956,1692,1156,313,19884,1847,,21731,413,22144,-97,22047
1957,1877,1523,393,26575,2038,,28613,837,29449,-139,29310
1958,2109,1825,503,31869,2313,,34182,964,35146,-146,35000
1959,2402,2248,612,38776,3388,,42164,1759,43923,-253,43670
1960,2792,2416,604,41783,3528,,45311,1666,46977,-313,46664
1961,3025,2563,605,43639,4455,,48094,1733,49827,-291,49536
1962,3310,2955,638,50985,4689,,55673,2203,57876,-283,57593
1963,3687,3430,856,58825,5495,,64319,2591,66910,-109,66801
1964,4091,3664,816,62467,6241,,68708,2769,71477,-164,71313
1965,4368,3904,968,66403,6844,,73246,3194,76440,286,76726
1966,4722,4637,1211,79087,7946,,87033,3743,90776,644,91419
1967,5275,5156,1583,87916,8821,,96737,4449,101185,295,101481
1968,10073,4541,1767,148453,10050,418,158922,4594,163515,378,163893
1969,11943,5104,2109,166805,10827,482,178114,4646,182760,596,183356
1970,13448,5675,2352,185582,14113,563,200258,5309,205567,2248,207815
1971,16719,6965,2932,227941,19419,727,248088,6973,255061,6012,261073
1972,20992,8223,3324,269523,25560,904,295987,8876,304862,9277,314140
1973,25822,10972,4719,339029,32296,1140,372465,11006,383471,15618,399089
1974,31421,13925,6485,465841,38047,1626,505514,14495,520009,17669,537678
1975,39644,17682,9907,601196,50915,2110,654221,19908,674130,16771,690901
1976,50718,22334,10050,761982,65697,2757,830437,26515,856952,11114,868066
1977,70309,28582,21557,967375,94155,3607,1065137,31348,1096485,11786,1108271
1978,105352,42544,27696,1444842,140754,5310,1590906,41486,1632392,13576,1645969
1979,177411,72365,35074,2500797,275544,9314,2785655,64935,2850590,25933,2876523
1980,430132,135273,83653,4677725,463594,18671,5159990,70627,5230618,72393,5303010
1981,589106,210406,127454,7210719,545527,30626,7786873,114155,7901027,121718,8022745
1982,788397,279084,105387,9665899,629918,43039,10338856,153330,10492186,119673,10611859
1983,1067621,372079,153925,12737330,820020,59052,13616402,289411,13905813,27195,13933008
1984,1567501,555393,29096,20278727,1125884,96680,21501290,495855,21997146,170594,22167740
1985,2523679,826775,-326622,32173651,1787838,149621,34111110,984371,35095481,254838,35350318
1986,3434054,1207460,728811,46976183,2394022,205565,49575769,1503555,51079324,105436,51184759
1987,4383768,1735700,1996834,67962445,3789049,318789,72070284,2651641,74721925,297463,75019388
1988,5854559,3197550,3348660,118081131,6363074,534744,124978950,4245555,129224505,-49401,129175104
1989,8390269,7544381,2561646,204044393,15535058,890559,220470009,6853999,227324008,3045929,230369937
1990,13218396,14415380,9838059,345617241,32525313,1520775,379663329,13396841,393060171,4117377,397177547
1991,23227600,23005955,23281982,544528633,61050573,2331752,607910958,22206002,630116961,4275881,634392841
1992,41215524,39576561,41188230,937260495,111841009,3553395,1052654899,40713146,1093368045,10236864,1103604909
1993,68178138,71449170,75654148,1690701393,203921577,6015017,1900637987,81229109,1981867096,15455502,1997322597
1994,127917956,142794609,163471154,3378937597,344529619,9069935,3732537151,135892038,3868429189,19473728,3887902917
1995,249169478,287000226,270343561,6843964631,619784725,14576714,7478326070,284130002,7762456072,92431095,7854887167
1996,442934780,554079623,709234737,13048072129,1238527311,26922359,14313521799,458588390,14772110189,205957094,14978067283
1997,850331600,1067451336,1371710000,25230941151,2579909797,53020894,27863871842,972011293,28835883135,557379012,29393262147
1998,1761710755,1956339288,3049158000,45665091558,4915736084,98742447,50679570089,1545375040,52224945129,1293386451,53518331580
1999,3465419959,2830825727,4284141000,66046733228,8781478065,272486469,75100697762,2314574546,77415272308,867694501,78282966809
2000,5772955047,4430360312,4097693493,106407242323,12633650459,477140623,119518033405,5065424871,124583458276,1012670479,125596128755
2001,8491897373,6592343649,11534430656,152394741814,18525724097,918062645,171838528556,6573909943,178412438499,-1928485478,176483953021
2002,11637780579,9753591716,8095559041,237544273143,27838382680,1663999479,267046655303,10527402180,277574057483,-2541691530,275032365953
2003,14653025050,12429089323,7911747039,305832435497,36561477071,3610383150,346004295717,13758630227,359762925944,-3082037722,356680888222
2004,18398552505,14889330506,10821249926,365630041850,42548483255,3530101611,411708626717,18802850251,430511476968,-1579133942,428932343026
2005,22393508817,16914421006,12477618115,414647510935,47719600412,2996961392,465364072739,21838289540,487202362279,-801330005,486401032274
2006,27501580940,19981992222,14702269469,489138296800,54945368469,4686121215,548769786484,27552444381,576322230865,-538268729,575783962136
