Table_20.4,GDP_by_economic_activity_at_current_prices,Unit:Billion_TL
Note: ESA-95 series, base 1998. 2005-2008 data in Thousand YTL; from 1.1.2009 YTL renamed TL.
Year,GDP_purchaser_price_BillionTL,GDP_pct_change,Agriculture_BillionTL,Agriculture_pct_change,Industry_BillionTL,Industry_pct_change,Services_BillionTL,Services_pct_change
1998,70203147,,8757483,,22916660,,36320439,
1999,104595916,49.0,10977132,25.3,31705728,38.4,59556930,64.0
2000,166658021,59.3,16817322,53.2,46794494,47.6,92411196,55.2
2001,240224083,44.1,21236673,26.3,64542273,37.9,140314694,51.8
2002,350476089,45.9,36058281,69.8,88307913,36.8,192655640,37.3
2003,454780659,29.8,45137960,25.2,113397388,28.4,246300262,27.8
2004,559033026,22.9,52997645,17.4,138411772,22.1,303474641,23.2
2005,648931712,16.1,60713747,14.6,160331023,15.8,350669700,15.6
2006,758390785,16.9,62662754,3.2,188646805,17.7,417108706,18.9
2007,843178421,11.2,64331717,2.7,209515201,11.1,480537624,15.2
2008,950534251,12.7,72274585,12.3,232475082,11.0,549835548,14.4
2009,952558579,0.2,78775886,9.0,218623211,-6.0,567050589,3.1
2010,1098799348,15.4,92739021,17.7,259022057,18.5,628785937,10.9
2011,1298062004,18.1,103643924,11.8,315974048,22.0,731334563,16.3
Note: 2011 data marked provisional (*).
Source: TurkStat National Accounts Chapter.
