Table 8.8 - Employed persons by employment status [15+ age] Part 1: 1988-2003 (Bin-Thousand)
Source: TurkStat Household Labour Force Survey Results
Year,Sex,Total,Regular_Casual_Employee,Employer,Self_Employed,Unpaid_Family_Worker
1988,Total,17754,7169,629,4594,5362
1989,Total,18223,7014,628,4869,5713
1990,Total,18538,7223,832,4901,5582
1991,Total,19288,7323,968,4782,6217
1992,Total,19459,7729,1044,4888,5799
1993,Total,18500,7805,1092,4567,5037
1994,Total,20007,8191,1099,4960,5757
1995,Total,20587,8551,1112,5053,5871
1996,Total,21195,9076,1166,4935,6018
1997,Total,21204,9467,1128,5191,5419
1998,Total,21779,9713,1276,5148,5643
1999,Total,22049,9926,1131,5206,5787
2000,Total,21581,10488,1109,5325,4659
2001,Total,21526,10156,1140,5365,4865
2002,Total,21355,10625,1186,5089,4455
2003,Total,21147,10708,1052,5249,4138
1988,Male,12519,5980,616,4236,1687
1989,Male,12548,5837,614,4426,1672
1990,Male,12901,6002,810,4409,1681
1991,Male,13395,6139,946,4299,2013
1992,Male,13682,6384,1017,4265,2017
1993,Male,13723,6484,1067,4181,1993
1994,Male,14192,6718,1074,4373,2028
1995,Male,14629,7001,1073,4560,1996
1996,Male,15068,7461,1126,4467,2015
1997,Male,15400,7726,1083,4656,1935
1998,Male,15687,7876,1229,4640,1943
1999,Male,15714,8029,1093,4601,1992
2000,Male,15780,8441,1066,4638,1635
2001,Male,15555,8173,1100,4596,1686
2002,Male,15233,8361,1125,4326,1421
2003,Male,15255,8462,1010,4533,1250
1988,Female,5235,1189,13,358,3675
1989,Female,5675,1177,15,443,4041
1990,Female,5637,1221,23,492,3901
1991,Female,5893,1184,22,483,4204
1992,Female,5777,1345,28,623,3782
1993,Female,4777,1322,25,386,3045
1994,Female,5816,1474,26,588,3729
1995,Female,5958,1551,40,494,3875
1996,Female,6127,1616,40,469,4004
1997,Female,5805,1741,46,535,3484
1998,Female,6092,1837,47,508,3701
1999,Female,6335,1897,38,606,3795
2000,Female,5801,2047,43,687,3024
2001,Female,5971,1983,40,769,3179
2002,Female,6122,2264,61,763,3034
2003,Female,5892,2246,42,716,2888
