Table,19.5 Konsolide bütçe dengesi (Eski seri) - Faiz ödemeleri ve Bütçe Dengesi / Consolidated Budget Balance (Old Series) - Interest Payments & Budget Balance
Source,Hazine Müsteşarlığı / Undersecretariat of Treasury
Unit,Milyar TL / Billion TL
Notes,"At current prices, Cumulative. (1) Expenditures/GNP ratio to 1997; Expenditures/GDP ratio from 1998."
,,,,,,,,,
Year,Interest_Total,Interest_Foreign,Interest_Domestic,Transfer_to_SEEs,Other_Transfers,Expenditures_GNP_pct,Budget_Balance,Budget_Balance_GNP_pct,Cash_Balance
1980,31,9,22,177,190,20.3,-167,-3.1,-152
1981,75,34,41,191,305,18.9,-123,-1.5,-36
1982,87,53,34,224,237,15.1,-157,-1.5,-166
1983,211,131,80,302,558,18.7,-312,-2.2,-182
1984,441,264,177,275,887,17.1,-979,-4.4,-1026
1985,674,427,247,181,1332,15.3,-786,-2.2,903
1986,1331,682,649,138,2021,16.7,-1407,-2.7,-1604
1987,2266,1006,1260,446,3152,17.4,-2598,-3.5,-2566
1988,4978,1819,3159,1025,4420,16.6,-3860,-3.0,-3941
1989,8259,3144,5115,1223,6911,16.9,-7502,-3.3,-8141
1990,13966,4353,9613,1265,9789,17.3,-13288,-3.3,-13688
1991,24073,7132,16941,12191,16450,20.5,-33516,-5.3,-33426
1992,40298,9753,30545,8145,29755,20.1,-47434,-4.3,-59439
1993,116470,23952,92518,25850,84939,24.3,-133857,-6.7,-126103
1994,298285,65117,233168,21029,158725,23.1,-152180,-3.9,151925
1995,576115,100596,475519,45500,353104,21.8,-316622,-4.0,-294495
1996,1497401,168314,1329087,50200,871757,26.3,-1238128,-8.3,-1267734
1997,2277917,299950,1977967,123640,2219327,27.2,-2240652,-7.6,-2220430
1998,6176595,547081,5629514,159960,3052878,22.0,-3831144,-5.5,-3900756
1999,10720840,896218,9824622,416800,6229828,26.9,-9151620,-8.7,-9124393
2000,20439862,1648000,18791862,885908,9114842,27.7,-13003716,-7.8,-12909098
2001,41064609,3570308,37497301,1200656,13462719,33.2,-28766071,-12.0,-32316463
2002,51870658,5063621,46807037,2170000,23507712,32.7,-39085183,-11.2,-34387603
2003,58609163,5890277,52718886,1881000,33980031,30.6,-39815859,-8.8,-41902250
