Table 11.14 - Basic Indicators on Enterprises by Economic Activity (NACE Rev.1.1) 2007 - Part 1 (Employment & Personnel Costs)
Source: TurkStat Statistical Indicators 1923-2011 chunk_008 page 284
Unit: Enterprises=count; Persons_Employed=count; Employees=count; Personnel_Costs=Million_TL
Year: 2007
NACE_Code,Activity_TR,Activity_EN,Number_of_Enterprises,Number_of_Persons_Employed,Number_of_Employees,Personnel_Costs_Million_TL
Total,Genel toplam,General total,2567704,9829061,7007493,103468454970
C,Madencilik ve taşocakçılığı,Mining and quarrying,2244,97627,95368,2065760290
D,İmalat,Manufacturing,316596,2776303,2459904,38716105207
E,Elektrik gaz buhar ve sıcak su üretimi ve dağıtımı,Electricity gas and water supply,2842,99302,99147,3408558199
F,İnşaat,Construction,107167,720541,632249,5758849922
G,Toptan ve perakende ticaret motorlu taşıt onarımı,Wholesale and retail trade repair of motor vehicles,1160561,3108740,1708945,22452241296
H,Oteller ve lokantalar,Hotels and restaurants,209232,607650,378598,4217398743
I,Ulaştırma depolama ve haberleşme,Transport storage and communications,443203,1024082,562047,11379578241
K,Gayrimenkul kiralama ve iş faaliyetleri,Real estate renting and business activities,154631,834117,685975,9383990115
M,Eğitim,Education,8270,154299,144784,2323867333
N,Sağlık işleri ve sosyal hizmetler,Health and social work,40752,177628,138903,2374783484
O,Diğer sosyal toplumsal ve kişisel hizmet faaliyetleri,Other community social and personal service activities,122206,228772,101573,1387322140
