table_number,table_title_tr,table_title_en,unit,price_basis
20.35,Gelir yöntemiyle Gayri Safi Yurtiçi Hasıla,Gross Domestic Product by cost components,Milyon TL - Million TL,Current prices

year,taxes_on_production_and_imports_net,taxes_on_production_and_imports,subsidies,consumption_of_fixed_capital,compensation_of_employees_paid_by_resident_producers,operating_surplus,gross_domestic_product
1980,274175,385960,111785,250067,1419862,3286513,5230617
1981,415017,604305,189288,423765,1880073,5182172,7901027
1982,494584,693291,198707,603000,2355790,7038812,10492186
1983,779711,1102193,322482,870863,3253789,9001450,13905813
1984,991969,1532329,540360,1547287,4612109,14845781,21997146
1985,1872556,2573835,701279,2547194,6918113,23757620,35095483
1986,3558538,4346976,788438,3669806,9933088,33917891,51079323
1987,6031060,6700095,669035,5218500,15500709,47971656,74721925
1988,10143833,11355588,1211755,9616718,27810359,81653594,129224505
1989,17358027,19680129,2322102,14877167,54620539,140468275,227324008
1990,33911153,38109506,4198353,23019997,106935628,229193392,393060171
1991,55797358,66132438,10335080,39065248,200752426,334501929,630116960
1992,94060119,118109446,24049327,66775230,346263510,586269186,1093368045
1993,184353592,221173789,36820197,112728391,611903666,1072881447,1981867096
1994,324843961,416215181,91371220,269254519,987852936,2286477773,3868429189
1995,755643145,849229850,93586705,501449205,1721977251,4783386470,7762456072
1996,1480217440,1723626199,243408759,930441826,3534765062,8826685861,14772110189
1997,3188893613,3566853631,377960018,1747711496,7440183639,16459094387,28835883135
1998,5505409627,6377793139,872383512,3270051123,13297030743,30152453637,52224945129
1999,8514632140,10110844610,1596212470,5338964754,23749549183,39812126231,77415272308
2000,16758516546,18429852500,1671335954,8162148024,36368142344,63294651362,124583458276
2001,25044393665,27381401398,2337007733,14758317094,50562315376,88047412364,178412438499
2002,41945074846,43185552813,1240477967,23982153735,72923558415,138723270486,277574057483
2003,58530498965,59480998313,950499348,27294181531,93978002925,179960242523,359762925944
2004,72828598905,73632955942,804357037,30168984368,113261756507,214252137187,430511476968
2005,86885637798,87909922561,1024284763,31715362379,129713653221,238887708881,487202362279
2006,100607329852,101870352331,1263022479,35967511199,151230894323,288516495491,576322230865

notes,"(1) Operating surplus calculated as a residual from the GDP by production method. (2) GDP by kind of activity (production method). Data for 2005 and 2006 are in TRY (New Turkish Lira)."
