Table 8.7 - Employed persons by major occupational groups [15+ age] ISCO-68 Old Series (Bin-Thousand)
Source: TurkStat Household Labour Force Survey Results
Year,Sex,Total,Scientific_Technical_Professional,Administrative_Executive_Managerial,Clerical_Related,Sales_Workers,Service_Workers,Agricultural_Animal_Husbandry_Forestry_Fishery,Nonagricultural_Production_Transport_Equipment,Workers_Not_Classifiable_Occupation
1988,Total,17754,1086,308,825,1401,1322,8241,4503,66
1989,Total,18224,1087,309,884,1438,1308,8640,4479,78
1990,Total,18537,1106,402,895,1499,1438,8676,4469,55
1991,Total,19288,1113,325,879,1497,1477,9217,4675,105
1992,Total,19458,1175,340,944,1678,1555,8725,4914,130
1993,Total,18499,1135,406,989,1697,1550,7822,4764,138
1994,Total,20006,1222,404,1015,1796,1591,8789,5072,118
1995,Total,20585,1261,431,1098,1918,1603,9051,5108,118
1996,Total,21195,1333,453,1090,1950,1645,9220,5334,172
1997,Total,21203,1386,516,1153,2023,1716,8813,5444,154
1998,Total,21777,1521,523,1209,2138,1774,9017,5463,136
1999,Total,22049,1554,499,1208,2270,1934,8832,5598,155
2000,Total,21579,1705,501,1312,2294,2009,7754,5856,148
2001,Total,21525,1647,534,1291,2191,2102,8083,5502,174
2002,Total,21353,1719,617,1291,2341,2220,7511,5430,225
2003,Total,21145,1808,650,1284,2419,2226,7162,5363,235
1988,Male,12519,785,292,550,1309,1187,4221,4123,52
1989,Male,12548,769,291,603,1344,1161,4287,4039,55
1990,Male,12901,776,384,598,1398,1293,4357,4059,37
1991,Male,13395,778,305,572,1402,1317,4664,4267,92
1992,Male,13681,783,316,622,1551,1383,4558,4367,102
1993,Male,13722,786,381,665,1564,1371,4533,4303,121
1994,Male,14191,821,367,667,1645,1382,4639,4570,102
1995,Male,14628,840,391,709,1747,1401,4783,4662,97
1996,Male,15067,889,408,690,1800,1437,4804,4896,144
1997,Male,15399,913,462,746,1822,1509,4876,4947,126
1998,Male,15686,987,474,767,1941,1543,4891,4967,117
1999,Male,15714,1005,453,762,2052,1646,4627,5049,122
2000,Male,15779,1114,455,801,2058,1706,4250,5283,112
2001,Male,15555,1078,490,810,1956,1791,4310,4984,136
2002,Male,15232,1108,558,803,2067,1851,3829,4845,171
2003,Male,15254,1184,593,771,2112,1880,3718,4820,176
1988,Female,5235,301,17,275,92,136,4020,380,14
1989,Female,5676,318,18,281,94,149,4354,440,23
1990,Female,5636,330,18,297,101,144,4319,412,18
1991,Female,5893,336,20,308,96,161,4553,408,13
1992,Female,5778,393,24,322,126,173,4167,547,28
1993,Female,4778,349,26,324,132,180,3289,461,18
1994,Female,5815,401,37,348,152,209,4151,503,17
1995,Female,5957,421,40,388,172,202,4268,446,21
1996,Female,6128,444,45,400,149,210,4416,438,27
1997,Female,5804,474,54,407,202,207,3937,497,28
1998,Female,6092,535,48,441,197,231,4126,496,19
1999,Female,6335,549,47,447,219,288,4206,549,33
2000,Female,5800,591,46,511,236,303,3504,573,36
2001,Female,5970,570,44,481,235,311,3773,518,38
2002,Female,6121,611,58,488,274,369,3682,585,54
2003,Female,5891,624,56,513,306,346,3444,543,59
