Table_11.42,Employment and Basic Indicators in Financial Intermediary Institutions - Value Added (Katma Deger) (Million TL) (ISIC Rev.3)
ISIC_Rev3_Code,Economic_Activity,1993,1994,1995,1996,1997,1998,1999,2000,2001
Total,Toplam - Total,95802905,169256063,360869511,868047075,1884302837,4195545343,6154104088,6983848694,14491749663
6511_6519,Banks (Central Bank included) Special Finance Houses,79087718,129699421,284853612,680290867,1361903100,3039018082,4186299210,4198317295,11364712949
6591,Financial Leasing Companies,6566931,15090244,29283468,90613984,246378312,530659844,711036418,1137130176,1142973674
6592,Agricultural Credit Cooperatives and other credit granting,9120,15960,34954,175656,14724115,105480198,148123981,139642024,365701864
6599,Factoring Companies and other financial intermediation,377485,660599,1446710,5892342,25122607,62551660,77642654,90383885,-188488626
6601,Life Insurance,852017,5076027,12062606,31006870,74632409,170837761,443065042,373400154,573885987
6603,Non-life Insurance,6419852,9851016,17526730,35312567,69099303,117523751,240232198,428000186,460032042
6712,Mutual Funds Companies and activities auxiliary,1288449,3457310,7386526,10545874,64286667,110316460,222443187,428868152,608290882
6719,Foreign Exchange Offices and other activities auxiliary,244014,1825113,1185769,3813147,7839127,38389411,70285343,97584148,55901996
6720,Insurance Agency,957319,3580373,7089136,10395768,20317197,20768176,54976055,90522674,108738895
