Table,17.17,Harcama gruplarina gore tuketici fiyatlari endeks sayilari degisim orani / Rates of change in CPI by expenditure groups,Source: TurkStat
Unit,Annual percentage change [2003=100],,,,,,,,
Year,General_pct,Food_Nonalcoholic_Beverages_pct,Alcoholic_Beverages_Tobacco_pct,Clothing_Footwear_pct,Housing_Water_Electricity_Gas_pct,Furnishings_Household_pct,Health_pct,Transport_pct,Communications_pct,Recreation_Culture_pct,Education_pct,Hotels_Cafes_Restaurants_pct,Misc_Goods_Services_pct
2004,8.60,6.81,19.10,6.64,8.44,6.02,8.05,7.31,3.17,8.91,19.33,16.73,10.22
2005,8.18,4.93,13.50,3.57,10.66,7.19,4.25,15.30,1.67,7.48,13.26,14.36,6.80
2006,9.60,9.70,20.97,-0.08,12.65,5.61,3.83,10.27,2.59,4.97,7.76,13.93,16.43
2007,8.76,12.42,9.92,4.52,11.21,7.60,4.77,5.61,-0.84,3.66,7.21,11.19,5.55
2008,10.44,12.79,7.07,2.49,19.64,6.89,0.41,7.97,1.81,1.95,6.76,13.38,9.63
2009,6.25,8.02,12.71,0.81,8.82,0.87,2.94,0.24,3.44,9.85,5.80,9.15,12.97
2010,8.57,10.58,34.77,4.55,6.28,2.20,0.72,9.63,-0.24,2.31,5.39,9.47,6.99
2011,6.47,6.24,3.57,6.57,5.79,7.79,0.61,9.98,0.46,1.54,5.43,8.05,12.76
