Table_10.6,Imports and exports of electricity
Source,TETC Electricity Generation - Transmission Statistics of Turkey (TEİAŞ)
Unit,10^6 kWh

Year,Imports_10e6kWh,Exports_10e6kWh
1975,96.2,
1976,332.2,
1977,492.2,
1978,621.0,
1979,1044.3,
1980,1341.2,
1981,1616.1,
1982,1773.4,
1983,2220.8,
1984,2653.0,
1985,2142.4,
1986,776.6,
1987,572.1,
1988,381.2,
1989,558.5,
1990,175.5,906.8
1991,759.4,506.4
1992,188.8,314.2
1993,212.9,588.7
1994,31.4,570.1
1995,,695.9
1996,270.0,343.1
1997,2492.3,271.0
1998,3298.5,298.2
1999,2330.3,285.3
2000,3791.3,437.3
2001,4579.4,432.8
2002,3588.2,435.1
2003,1158.0,587.6
2004,463.5,1144.3
2005,635.9,1798.1
2006,573.2,2235.7
2007,864.3,2422.2
2008,789.4,1122.2
2009,812.0,1545.8
2010,1143.8,1917.6
2011,4555.8,3644.6
