Table 11.38 - Quarterly Industrial Employment Index - Mining and Quarrying Sub-sectors
Source: TurkStat Statistical Indicators 1923-2011 chunk_008 page 335
Base year: 2005=100
Unit: Index (2005=100)
Year,Mining_and_Quarrying_Total,Coal_and_Lignite,Crude_Petroleum_Natural_Gas,Metal_Ore_Mining,Other_Mining_Quarrying
2005,100.0,100.0,100.0,100.0,100.0
2006,110.8,111.2,94.2,121.6,110.7
2007,122.2,121.0,103.7,145.2,121.2
2008,124.4,122.3,100.7,158.6,123.0
2009,118.0,119.3,99.0,138.9,113.9
2010,124.4,122.2,102.3,175.1,117.8
2011,128.0,119.8,107.6,206.5,122.1
