table_number,table_name,source_chunk,pages,unit,methodology
20.27,GDP by expenditure types ESA-95 [At current prices],chunk_026,"760",Billion TL,ESA-95
notes,"2005-2008 data in Thousand TRY. From 1.1.2009 TRY expression changed to TL."

Year,Resident_HH_Consumption,Resident_NonResident_HH_Domestic_Consumption,Less_NonResident_HH_Domestic_Consumption,Resident_HH_Abroad_Consumption,Govt_Final_Consumption,Govt_Compensation_Employees,Govt_PurchasesGoodsServices,GFCF_Total,GFCF_PublicSector,GFCF_PrivateSector,Change_in_Stocks,Exports_GoodsServices,Less_Imports_GoodsServices,GDP
1998,46668561,49694150,3472963,447373,7197730,4651179,2546552,16046649,3219178,12827470,-522264,14979695,14167223,70203147
1999,71641318,74994397,3955789,602711,12791000,8226319,4564681,19809568,4606657,15202911,193060,20333328,20172359,104595916
2000,117499253,124767959,8324327,1055622,19542975,11918856,7624119,33986629,7749411,26237218,622907,33494716,38488459,166658021
2001,164299067,179986710,17790308,2102665,29778962,17904108,11874853,38293820,10165657,28128163,-2058290,65919607,56009082,240224083
2002,238399083,259441149,23886509,2844442,44615308,26533445,18081863,58601708,15211265,43390442,3131331,88380641,82651981,350476089
2003,324015751,345722739,24852807,3145820,55483632,35253787,20229844,77366472,15361124,62005348,2660221,104575145,109320562,454780659
2004,398559246,423619916,28679220,3618550,66802142,41573371,25228771,113716568,16339107,97377460,-5319662,131660988,146386256,559033026
2005,465401759,490692217,29161491,3871033,76498649,45811549,30687100,136475134,21410353,115064780,-6756351,141826467,164513946,648931712
2006,534849206,564897493,34025134,3976846,93525263,52756008,40769255,169044693,25745598,143299095,-1782719,171926483,209172139,758390785
2007,601238607,628733500,31742044,4247151,107815962,59601255,48214707,180598317,28674618,151923699,-2961137,188224755,231738081,843178421
2008,663944252,695619985,36241015,4565282,121681099,66986764,54694335,189094334,36725067,152369267,17949462,227252949,269387845,950534251
2009,680768339,714245241,39888549,6411648,140028924,75829979,64198944,160718033,35335252,125382781,-18427286,222102643,232632073,952558579
2010,787752785,819223624,38723122,7252283,157513643,87344368,70169275,207815565,43406876,164408689,6707721,233045907,294036273,1098799348
2011,923632512,961858650,46572561,8346423,180670156,100906381,79763776,282839859,48580935,234258924,26364805,308170825,423616154,1298062004
