Table,19.5 Merkezi Yönetim Bütçe Dengesi - Detailed / Central Government Budget Balance and Finance
Source,Hazine Müsteşarlığı / Undersecretariat of Treasury
Notes,"2004-2005 in Milyar TL (Billion TL); 2005 unit is Thousand YTL (Bin YTL); 2006-2011 in Milyon TL (Million TL). Personnel giderleri = Compensation of Employees."
,,,,,,,,,
Item,2004,2005,2006,2007,2008,2009,2010,2011
Total_Revenues,110720859,137980944,173483,190360,209598,215458,254277,296824
Tax_Revenues,90076861,106929227,137480,152835,168109,172440,210560,253809
Direct_Taxes,27996744,32672814,43258,51844,59023,61133,66566,82057
Indirect_Taxes,62080117,74256413,94222,100991,109086,111308,143995,171752
Nontax_Revenues,17500089,25468472,,,,,,
Total_Expenditures,141020860,146097573,178126,204068,227031,268219,294359,314607
Primary_Expenditures,84532370,100418041,132163,155315,176369,215018,246060,272375
Personnel_Giderleri,28947995,31855941,37812,43569,48856,55947,62315,72914
Social_Security_Contributions,4024011,4533029,5075,5805,6408,7208,11063,12850
Goods_Services_Purchases,12683651,14446291,19001,22258,24412,29799,29185,32797
Interest_Payments,56488490,45679532,45963,48753,50661,53201,48299,42232
Domestic_Interest,50052872,39269565,38659,41540,44516,46762,42148,35064
Foreign_Interest,6056689,6223476,6662,6403,5738,6318,5982,6668
Current_Transfers,27682899,35222709,49851,63292,70360,91976,101857,110499
Capital_Expenditures,8050334,9805447,12098,13003,18516,20072,26010,30905
Primary_Balance,26188489,37562903,41320,35045,33229,440,8217,24448
Budget_Balance,-30300001,-8116629,-4643,-13708,-17432,-52761,-40081,-17783
Cash_Balance,-31623633,-9310065,-5981,-13358,-19061,-56979,-38517,-14895
