Table,20.21
Title,Gross Domestic Product by expenditure approach (At current prices)
Unit,Million TL (Milyon TL)
Source,TurkStat Statistical Indicators 1923-2011
Pages,742-744
Note_1,Data of 2005 and 2006 years are given as TRY
Note_2,Detailed sub-components of private consumption available from 1987; GFCF from 1980
Note_3,"GFCF public sector columns: Total / Machinery & equipment / Building construction / Other construction"
Note_4,"GFCF private sector columns: Total / Machinery & equipment / Building construction"
Note_5,Page 7 (2003 data) partially cut off in extraction; GDP total for 2003 = 358699628542

Year,Private_final_consumption_total,Private_consump_food_beverages,Private_consump_durable_goods,Private_consump_semi_durable_nondurable,Private_consump_energy_transport_communication,Private_consump_services,Private_consump_ownership_dwelling,GFCF_general_total,GFCF_public_total,GFCF_public_machinery_equipment,GFCF_public_building_construction,GFCF_public_other_construction,GFCF_private_total,GFCF_private_machinery_equipment,GFCF_private_building_construction,Govt_final_consump_total,Govt_consump_wage_salaries,Govt_consump_other_current,Change_in_stocks,Export_goods_services,Import_goods_services,GDP
1980,4070524,,,,,,,,948623,503742,233728,98752,171262,444881,74092,370789,538284,463594,74690,26230,285130,638173,5230618
1981,6087009,,,,,,,,1306741,804313,352198,162227,289888,502428,110112,392316,681508,545527,135981,183976,675698,1033905,7901027
1982,8445305,,,,,,,,1586941,984102,462395,179494,342213,602839,189905,412934,779009,629918,149091,27003,1247944,1594016,10492186
1983,11099694,,,,,,,,2308745,1348723,644789,236159,467775,960022,346269,613753,1172161,820020,352141,-69481,1742356,2347662,13905813
1984,17346991,,,,,,,,3859264,2030166,858386,409147,762633,1829098,829578,999520,1620288,1125884,494404,139185,3441049,4409631,21997146
1985,27240173,,,,,,,,6569250,3575507,1594335,649824,1331348,2993743,1205665,1788078,2325563,1787838,537725,72562,5583687,6695752,35095483
1986,37025105,,,,,,,,11751352,5490847,2155867,1015255,2319725,6260505,2440171,3820334,3422529,2394022,1028507,460928,6775856,8356447,51079323
1987,51018541,20967393,5325207,9191875,6432410,4299492,4802164,18491096,7709848,2721832,1488064,3499952,10781248,4042448,6738800,5845368,3789049,2056319,687452,11642299,13268659,74416097
1988,82050166,32110502,8109812,15376409,11934968,8086933,6431542,33737711,11593031,4392815,2183558,5016658,22144680,6786261,15358419,9837384,6363074,3474310,-1247279,24105567,22682550,125800999
1989,149140263,60281298,14947520,25621796,22791374,16237732,9260543,51836626,17427824,5916729,3242159,8268936,34408802,9817487,24591315,21239693,15535058,5704635,1522037,36833081,40419949,220151751
1990,269562475,107455017,31989177,51485068,37768617,26221644,14642952,89892099,28504774,8809253,5682722,14012799,61387325,23695102,37692223,43083467,32525313,10558154,5791548,52214606,69042481,391501714
1991,444870816,170413737,52919170,86356994,66333557,43010356,25837002,150156074,47984198,14203356,8400623,25380219,102171876,39782053,62389823,77894608,61050573,16844035,-6973150,87215403,104819232,648344519
1992,760255858,281405071,87483435,140570012,128403581,77250797,45142962,258406282,81312004,25838632,14100330,41373042,177094278,70831063,106263215,140583825,111841009,28742816,2453525,157360049,189646077,1129413462
