Table_11.42,Employment in Financial Intermediary Institutions - Annual Average Number of Persons Engaged (Calisanlar) (NACE Rev.2)
NACE_Rev2_Code,Economic_Activity,2002,2003,2004,2005,2006,2007,2008,2009,2010
K,Financial and insurance activities - Total,185540,195146,197309,205350,213439,232700,258282,285806,294603
64,Financial service activities (excl insurance and pension),146676,140655,140509,150083,159471,175012,192473,198529,205440
64.11_64.19,Monetary intermediation (central bank commercial banks special finance houses),131127,125638,126366,135876,144949,159775,176908,181668,187824
64.91,Financial leasing companies,967,1002,1010,1158,1325,1394,1539,1324,1317
64.92_64.99,Other credit granting and other financial service activities n.e.c.,14582,14015,13133,13049,13197,13843,14026,6427,6480
65,Insurance reinsurance and pension funding (excl compulsory social security),10018,10768,11930,12458,13192,14387,15520,15815,15875
65.11,Life insurance,4587,4940,5751,5931,6304,7035,7309,7149,6815
65.12_65.20,Non-life insurance and reinsurance,5431,5828,6179,6527,6888,7352,8211,8666,9060
66,Activities auxiliary to financial services and insurance,28846,43723,44870,42809,40776,43301,50289,71462,73288
66.12,Security and commodity contracts brokerage (mutual funds and foreign exchange offices),13589,13567,11713,10822,9875,9939,9745,8848,8906
66.19,Other activities auxiliary to financial services (credit surety cooperatives),-,13220,13236,9218,4047,4165,3624,2535,2898
66.22,Insurance agents and brokers (legal entity),15257,16936,19921,22769,26854,29197,36920,55603,56289
