Table 11.14 - Basic Indicators on Enterprises by Economic Activity (NACE Rev.2) 2009 - Part 2 (Turnover Production Value-Added)
Source: TurkStat Statistical Indicators 1923-2011 chunk_008 page 289
Unit: TL (note: unit is TL not Million TL from 2009 onwards)
Year: 2009
NOTE: Classification switched from NACE Rev.1.1 to NACE Rev.2 from 2009 onwards
NACE_Code,Activity_TR,Activity_EN,Turnover_Ciro_TL,Production_Value_Uretim_Degeri_TL,Value_Added_at_Factor_Cost_TL
Total,Genel Toplam,General Total,1640231919667,959651294368,258386157884
B,Madencilik ve taşocakçılığı,Mining and quarrying,13221626028,13923968426,5518707591
C,İmalat,Manufacturing,449456575288,420380698940,84735484301
D,Elektrik gaz buhar ve iklimlendirme üretimi ve dağıtımı,Electricity gas steam and air conditioning supply,75768319260,75904548191,11351219906
E,Su temini kanalizasyon atık yönetimi,Water supply sewerage waste management and remediation activities,7649056596,7610976023,3615496311
F,İnşaat,Construction,98455348547,95372181443,18932620641
G,Toptan ve perakende ticaret motorlu kara taşıtlarının onarımı,Wholesale and retail trade repair of motor vehicles and motorcycles,757532848652,124038548553,55869832200
H,Ulaştırma ve depolama,Transportation and storage,95585535748,80935299751,20692444504
I,Konaklama ve yiyecek hizmeti faaliyetleri,Accommodation and food service activities,25901828080,25568493075,7697951882
J,Bilgi ve iletişim,Information and communication,35194013633,34931192487,14190406091
L,Gayrimenkul faaliyetleri,Real estate activities,3330828566,3391810838,836356918
M,Mesleki bilimsel ve teknik faaliyetleri,Professional scientific and technical activities,32507093640,32313344637,15696697662
N,İdari ve destek hizmet faaliyetleri,Administrative and support service activities,23118476143,22841097863,8927417230
P,Eğitim,Education,6027314353,6014878932,3498910082
Q,İnsan sağlığı ve sosyal hizmet faaliyetleri,Human health and social work activities,10745518580,10772627816,5371122562
R,Kültür sanat eğlence dinlence ve spor,Arts entertainment and recreation,2617159963,2602274604,460352279
S,Diğer hizmet faaliyetleri,Other service activities,3120376590,3049352789,991137724
