Table_Reference,Turkish_Title,English_Title
1.3,"Belediye sayısı ve nüfusu","Number and population of municipalities"

Census_Year,Total_Municipalities,Total_Municipality_Population,Metropolitan,Province,District,Town,Province_District_Submunic_Population,Town_Population
1927,460,,,63,328,69,3305879,
1935,505,4174542,,57,356,92,3802642,371900
1940,549,4753304,,63,370,116,4346249,407055
1945,583,5145020,,63,396,124,4687102,457918
1950,628,5768665,,63,422,143,5244337,524328
1955,809,7804354,,66,493,250,6927343,877011
1960,995,9994644,,67,570,358,8859731,1134913
1965,1062,12787663,,67,571,424,10805817,1981846
1970,1303,16753979,,67,572,664,13691101,3062878
1975,1654,20500442,,67,572,1015,16869068,3631374
1980,1725,25523604,,67,572,1086,19645007,5878597
1985,1715,30994747,3,65,580,1067,26865757,4128990
1990,2053,37889728,8,65,829,1151,33326351,4563377
2000,3228,53404784,16,65,850,2266,44006274,9398510
