Table 8.4 - Employed persons by kind of economic activity [15+ age] NACE Rev.2 New Series (Bin-Thousand)
Source: TurkStat Household Labour Force Survey Results
Note: Only years 2009-2011 available in this chunk for new series. Two sub-tables combined.
Year,Sex,Total,Agriculture_Forestry_Fishing,Mining_Quarrying,Manufacturing_Industry,Electricity_Gas_Steam_Water_Canalization,Construction,Wholesale_Retail_Trade,Transportation_Storage,Accommodation_Food_Service,Information_Communication,Finance_Insurance,Real_Estate,Professional_Scientific_Technical,Administrative_Support_Service,Public_Admin_Defence,Education,Human_Health_Social_Services,Culture_Art_Entertainment_Sport,Other_Social_Services
2009,Total,21277,5240,97,3870,112,1306,3381,986,1049,156,273,63,399,600,1207,967,591,130,850
2010,Total,22594,5683,114,4215,165,1432,3326,1008,1084,204,274,61,428,766,1292,1019,590,102,831
2011,Total,24110,6143,125,4367,212,1676,3476,1044,1140,211,280,154,427,778,1337,1107,693,100,840
2009,Male,15406,2795,95,3024,103,1266,2779,924,888,114,156,53,273,470,1031,516,263,110,546
2010,Male,16169,2959,110,3265,153,1376,2697,949,917,153,158,47,292,591,1100,541,259,84,518
2011,Male,17137,3199,123,3380,198,1622,2787,978,936,159,158,126,283,587,1135,593,280,84,509
2009,Female,5871,2445,2,846,9,40,602,62,161,42,117,10,126,130,176,451,328,20,304
2010,Female,6425,2724,4,950,12,56,629,59,167,51,116,14,136,175,192,478,331,18,313
2011,Female,6973,2944,2,987,14,54,689,66,204,52,122,28,144,191,202,514,413,16,331
