Table_Reference,Turkish_Title,English_Title
1.1,"Nüfus, yıllık nüfus artış hızı, il, ilçe, belde belediyesi, köy sayısı ve nüfus yoğunluğu","Population, annual growth rate of population, number of provinces, districts, towns, villages and population density"

Census_Year,Population,Annual_Growth_Rate_permille,Num_Provinces,Num_Districts,Num_Towns_Villages,Population_Density_per_km2
1927,13648270,,63,328,40600,18
1935,16158018,21.10,57,356,34876,21
1940,17820950,17.03,63,370,34024,23
1945,18790174,10.59,63,396,34063,24
1950,20947188,21.73,63,422,34252,27
1955,24064763,27.75,66,493,34787,31
1960,27754820,28.53,67,570,35441,36
1965,31391421,24.62,67,571,35638,41
1970,35605176,25.19,67,572,35995,46
1975,40347719,25.00,67,572,36115,52
1980,44736957,20.65,67,572,36155,58
1985,50664458,24.88,67,580,36031,65
1990,56473035,21.71,73,829,36233,73
2000,67803927,18.28,81,850,37366,88

Note: Surface area of Turkey is 769604 km2 (lakes and dams excluded). Districts count excludes province centers.
