Table 8.3 - Non-institutional population by labour force status [Rural] (Bin-Thousand / %)
Source: TurkStat Household Labour Force Survey Results
Note: (1) Revised by new population projections. Data from 2008 weighted by renewed projections.
Year,Sex,Total_Population,Age_15minus,Age_15plus,Rate_of_age_15plus_pct,Labour_Force,Not_in_Labour_Force,Labour_Force_Participation_Rate_pct,Employed,Unemployment,Unemployment_Rate_pct,Employment_Rate_pct
2004,Total,19712,5841,13871,70.4,7545,6326,54.4,7131,414,5.5,51.4
2005,Total,20125,5905,14220,70.7,7408,6812,52.1,6940,468,6.3,48.8
2006,Total,20540,6153,14387,70.0,7360,7027,51.2,6905,455,6.2,48.0
2007,Total,20957,6238,14719,70.2,7479,7240,50.8,6973,506,6.8,47.4
2008,Total,21375,6300,15075,70.5,7742,7332,51.4,7184,558,7.2,47.7
2009,Total,21795,6306,15489,71.1,8163,7326,52.7,7438,724,8.9,48.0
2010,Total,22172,6207,15965,72.0,8536,7429,53.5,7915,621,7.3,49.6
2011,Total,22841,6221,16620,72.8,9131,7489,54.9,8603,528,5.8,51.8
2004,Male,9687,2984,6703,69.2,4916,1788,73.3,4579,336,6.8,68.3
2005,Male,9800,3002,6798,69.4,4894,1904,72.0,4518,376,7.7,66.5
2006,Male,9919,3102,6817,68.7,4857,1960,71.3,4500,358,7.4,66.0
2007,Male,10182,3173,7009,68.8,4976,2033,71.0,4565,411,8.3,65.1
2008,Male,10405,3210,7195,69.1,5153,2043,71.6,4706,447,8.7,65.4
2009,Male,10725,3232,7493,69.9,5396,2097,72.0,4819,577,10.7,64.3
2010,Male,10917,3173,7744,70.9,5549,2196,71.6,5065,483,8.7,65.4
2011,Male,11250,3166,8084,71.9,5928,2156,73.3,5514,413,7.0,68.2
2004,Female,10025,2857,7168,71.5,2629,4538,36.7,2552,78,3.0,35.6
2005,Female,10326,2904,7422,71.9,2514,4908,33.9,2423,92,3.6,32.6
2006,Female,10621,3051,7570,71.3,2503,5067,33.1,2405,97,3.9,31.8
2007,Female,10775,3065,7710,71.6,2503,5207,32.5,2409,95,3.8,31.2
2008,Female,10970,3091,7879,71.8,2590,5290,32.9,2478,112,4.3,31.4
2009,Female,11070,3074,7996,72.2,2766,5229,34.6,2619,147,5.3,32.8
2010,Female,11256,3035,8221,73.0,2987,5233,36.3,2850,138,4.6,34.7
2011,Female,11591,3055,8536,73.6,3203,5333,37.5,3088,115,3.6,36.2
