Table_11.3,Manufacturing industry private sector (İmalat sanayii özel sektör)
Source,TurkStat Annual Manufacturing Industry Statistics
Unit,Million TL (Milyon TL) for financial columns; persons for employment columns
Note,"(1) 1969 = Estimate"

Year,Number_of_Establishments,Annual_Avg_Employees,Annual_Avg_Persons_Engaged,Annual_Payments_to_Employees_MilTL,Input_MilTL,Output_MilTL,Value_Added_MilTL
1950,2515,86826,89421,96,771,1073,302
1951,2636,90959,93402,114,938,1291,353
1952,2911,99741,102418,143,1015,1445,430
1953,3355,120879,124529,189,1266,1871,604
1954,3704,139160,134450,231,1568,2315,747
1955,4106,139729,143333,281,2050,2981,931
1956,4443,136058,140126,341,2426,3577,1151
1957,4449,153136,157281,475,3262,4886,1624
1958,4926,172689,177466,645,3939,6009,2069
1959,5205,178491,181284,820,5175,7628,2453
1960,5284,168001,173155,864,5512,7937,2425
1961,6638,190614,196224,1015,6542,9549,3007
1962,3795,196248,198705,1075,6749,9969,3221
1963,2774,164582,170219,1015,7825,10963,3138
1964,2876,193630,198173,1297,9319,13227,3908
1965,2944,204875,209220,1569,10165,15294,5130
1966,2963,216694,220483,1770,12170,18149,5980
1967,3039,238867,242515,2196,14866,21928,7062
1968,3127,257270,261434,2721,17027,25166,8139
1969,3173,263883,268007,2968,18965,28116,9151
1970,4566,318610,324993,4228,23890,36942,13052
1971,4601,321019,327644,5621,31145,47715,16570
1972,5148,361997,368917,6747,43632,66307,22675
1973,5441,401264,409016,9084,60876,87789,26913
1974,5501,440232,447261,12532,84040,120891,36851
1975,5676,438775,446400,16727,112053,158216,46163
1976,5712,440406,447829,23788,133244,213194,79950
1977,6143,480768,488500,35617,180400,281978,101578
1978,6753,484782,493515,54047,261720,434804,173084
1979,7046,483913,492476,84056,422080,683051,260971
1980,8302,499806,508461,135418,855535,1346565,491031
1981,8781,526668,535226,204824,1426824,2165492,738668
1982,9047,562262,571143,283380,2025763,3103249,1077486
1983,8855,583349,592600,372714,2987262,4421261,1433999
1984,8396,611864,618852,531564,4984948,7214319,2229371
1985,10255,651577,660721,800366,7934138,11439819,3505682
1986,9366,673403,680918,1085401,11756783,17729918,5973135
1987,9004,705714,711984,1692552,19301319,29010683,9709364
1988,8905,747344,753284,2965229,34327432,52117338,17789906
1989,9028,776965,772879,5809231,59522106,89044832,29522726
1990,8461,773907,778434,11489022,89781275,142545115,52763840
1991,7845,706141,709711,21567279,144786243,235998942,91212699
1992,10768,751538,757376,36014690,270725244,446195520,175470276
1993,10151,760981,765956,62321724,493457334,829798322,336340988
1994,9734,736294,740330,95095234,1040481123,1738541768,698060645
1995,9871,800723,803979,197180991,2342144426,3669090932,1326946506
1996,10259,880628,883401,392346245,3919389257,6150300644,2230911387
1997,11056,991170,993612,838340315,8425760146,13261423103,4835662957
1998,12025,1061787,1064000,1656344902,14558657107,22717144450,8158487343
1999,10972,978530,980138,2675921336,20871283980,33440390242,12569106262
2000,10855,1004509,1006005,4172581485,35250281223,54160256944,18909975721
2001,11053,980880,981932,5499656148,60921993182,92777438186,31855445001
