Table,17.20 (continued),Bina insaati maliyet endeksi ve degisim oranlari / Building construction cost index and rate of changes,Source: TurkStat
Unit,Index [2005=100] and annual % change,,,,,,,,,,
Year,General_Total_Index,General_Total_pct,Two_Plus_Dwelling_Index,Two_Plus_Dwelling_pct,One_Dwelling_Index,One_Dwelling_pct,Residential_Index,Residential_pct,Other_Buildings_Index,Other_Buildings_pct
2005,100.00,,100.00,,100.00,,100.00,,100.00,
2006,115.98,15.98,115.88,15.88,115.99,15.99,115.89,15.89,116.23,16.23
2007,125.68,8.36,125.51,8.31,125.82,8.48,125.55,8.33,126.06,8.45
2008,142.84,13.65,143.21,14.10,140.69,11.82,142.94,13.85,142.56,13.09
2009,136.73,-4.28,137.06,-4.29,137.63,-2.17,137.12,-4.07,135.62,-4.86
2010,144.59,5.75,144.85,5.68,144.79,5.20,144.84,5.63,143.89,6.10
2011,162.53,12.41,162.91,12.47,161.34,11.43,162.74,12.36,161.94,12.54
Year,Labour_Total_Index,Labour_Total_pct,Labour_Two_Plus_Dwelling_Index,Labour_Two_Plus_Dwelling_pct,Labour_One_Dwelling_Index,Labour_One_Dwelling_pct,Labour_Residential_Index,Labour_Residential_pct,Labour_Other_Index,Labour_Other_pct
2005,100.00,,100.00,,100.00,,100.00,,100.00,
2006,121.84,21.84,121.92,21.92,121.61,21.61,121.88,21.88,121.72,21.72
2007,137.78,13.09,137.84,13.06,137.45,13.02,137.80,13.06,137.74,13.16
2008,153.84,11.65,153.88,11.63,153.59,11.75,153.85,11.65,153.81,11.66
2009,158.54,3.06,158.57,3.04,158.26,3.04,158.53,3.04,158.56,3.09
2010,167.40,5.59,167.34,5.54,167.28,5.70,167.34,5.55,167.58,5.69
2011,178.37,6.55,178.32,6.56,178.24,6.55,178.31,6.56,178.54,6.54
Year,Materials_Total_Index,Materials_Total_pct,Materials_Two_Plus_Index,Materials_Two_Plus_pct,Materials_One_Index,Materials_One_pct,Materials_Residential_Index,Materials_Residential_pct,Materials_Other_Index,Materials_Other_pct
2005,100.00,,100.00,,100.00,,100.00,,100.00,
2006,114.46,14.46,114.31,14.31,114.41,14.41,114.32,14.32,114.86,14.86
2007,122.54,7.06,122.29,6.99,122.56,7.12,122.32,7.00,123.14,7.21
2008,139.98,14.23,140.42,14.82,137.07,11.84,140.06,14.50,139.74,13.48
2009,131.06,-6.37,131.44,-6.40,131.85,-3.81,131.48,-6.12,129.89,-7.05
2010,138.67,5.80,138.97,5.73,138.48,5.03,138.92,5.65,137.97,6.22
2011,158.41,14.24,158.88,14.33,156.60,13.08,158.64,14.20,157.79,14.36
