Table 8.5 - Unemployed persons by educational status [15+ age] (Bin-Thousand)
Source: TurkStat Household Labour Force Survey Results
Note: (1) Revised by new population projections. Data from 2008 weighted by renewed projections.
Year,Sex,Total,Illiterate,Literate,Literate_No_School_Completed,Primary_School,Primary_Ed_Junior_High_Equivalent,General_High_School,Vocational_High_School,Higher_Education
1988,Total,1639,121,1518,88,769,221,267,86,87
1989,Total,1708,161,1547,105,861,177,251,86,67
1990,Total,1611,132,1479,72,804,192,254,85,73
1991,Total,1722,90,1632,64,912,216,258,100,83
1992,Total,1805,77,1728,77,923,209,316,104,99
1993,Total,1815,64,1752,66,937,219,347,81,102
1994,Total,1870,71,1799,75,912,239,365,105,104
1995,Total,1699,61,1639,46,794,236,350,125,90
1996,Total,1504,46,1458,31,654,188,353,129,103
1997,Total,1552,33,1520,25,620,224,373,164,115
1998,Total,1606,43,1563,35,626,212,401,140,151
1999,Total,1829,45,1784,34,791,241,409,157,155
2000,Total,1497,68,1429,42,628,191,273,151,144
2001,Total,1967,60,1907,46,891,256,336,214,164
2002,Total,2464,79,2385,44,1091,329,374,280,267
2003,Total,2493,113,2380,64,1113,331,339,243,290
2004,Total,2385,57,2328,58,909,355,410,288,308
2005,Total,2388,58,2330,93,892,396,378,294,277
2006,Total,2328,54,2274,93,845,399,377,275,285
2007,Total,2376,55,2322,110,803,424,380,294,311
2008,Total,2611,64,2547,134,871,501,387,292,362
2009,Total,3471,87,3384,179,1143,712,498,393,459
2010,Total,3046,69,2977,155,959,653,433,332,445
2011,Total,2615,56,2559,143,751,562,351,285,467
1988,Male,1018,60,1109,59,525,151,129,53,41
1989,Male,1116,91,1142,66,617,117,128,57,40
1990,Male,1088,76,1012,52,604,141,124,51,42
1991,Male,1270,55,1215,54,735,168,146,65,48
1992,Male,1321,49,1272,57,735,164,193,70,55
1993,Male,1324,46,1278,49,751,170,198,52,59
1994,Male,1361,52,1309,55,727,184,217,72,56
1995,Male,1230,38,1192,39,625,183,208,83,55
1996,Male,1116,30,1087,26,549,151,216,85,62
1997,Male,1065,23,1043,20,498,167,209,88,62
1998,Male,1162,24,1138,30,519,168,249,86,87
1999,Male,1312,33,1279,27,633,175,257,101,86
2000,Male,1111,40,1071,32,527,157,174,101,80
2001,Male,1484,45,1439,39,736,199,227,144,94
2002,Male,1826,48,1778,36,917,264,229,187,145
2003,Male,1831,58,1773,48,916,272,224,160,153
2004,Male,1762,43,1719,51,766,289,267,183,163
2005,Male,1746,40,1705,79,737,325,232,189,143
2006,Male,1671,42,1629,76,685,317,228,174,149
2007,Male,1716,43,1673,94,672,340,225,189,153
2008,Male,1877,47,1831,109,716,404,242,181,179
2009,Male,2491,66,2425,137,933,571,310,248,226
2010,Male,2088,49,2039,121,750,503,255,205,205
2011,Male,1730,39,1691,108,575,427,196,170,215
1988,Female,621,61,630,29,244,70,138,33,46
1989,Female,592,70,582,39,244,60,123,29,27
1990,Female,523,56,467,21,201,51,130,35,31
1991,Female,452,35,417,11,177,48,112,35,36
1992,Female,484,28,456,21,188,46,124,35,44
1993,Female,492,18,474,18,186,49,149,29,43
1994,Female,510,20,490,21,185,56,148,33,48
1995,Female,470,23,447,7,169,53,142,43,35
1996,Female,388,17,371,6,106,37,138,44,42
1997,Female,487,10,477,6,122,58,164,76,53
1998,Female,445,19,426,5,107,45,152,54,64
1999,Female,517,12,506,7,158,66,152,56,69
2000,Female,387,28,357,10,100,34,99,50,64
2001,Female,483,15,468,7,155,55,110,70,71
2002,Female,637,31,606,8,174,65,144,93,122
2003,Female,663,55,608,16,197,60,115,83,137
2004,Female,622,14,608,7,143,66,142,105,145
2005,Female,642,17,625,14,155,71,146,105,134
2006,Female,658,12,645,17,160,82,149,101,136
2007,Female,660,12,649,16,131,84,155,105,158
2008,Female,734,17,717,25,155,98,145,111,183
2009,Female,979,21,958,42,210,141,188,145,232
2010,Female,958,20,938,34,209,150,178,127,240
2011,Female,885,17,868,35,176,135,155,115,252
