Table,16.2,Foreign trade indicators
Source,TurkStat
Notes,"Balance of trade = exports minus imports in million USD. Trade volume = exports + imports. GSMH = GNP; GSYH = GDP. GNP-based shares available 1923-2006; GDP-based shares available 1998-2011. Values in million USD."
Unit,"Balance and volume: Million USD; Shares: percent (%)"
Year,Balance_of_Trade_Mln_USD,Ratio_Exports_to_Imports_Pct,Trade_Volume_Mln_USD,Export_Share_in_GNP_Pct,Export_Share_in_GDP_Pct,Import_Share_in_GNP_Pct,Import_Share_in_GDP_Pct
1923,-36.1,58.5,137.7,8.9,,15.2,
1924,-18.0,82.1,182.9,11.4,,13.9,
1925,-26.3,79.6,231.7,11.2,,14.1,
1926,-25.0,79.4,217.8,9.8,,12.3,
1927,-27.0,74.9,188.5,9.2,,12.3,
1928,-25.4,77.6,202.0,10.7,,13.8,
1929,-48.7,60.6,198.4,7.2,,11.8,
1930,1.8,102.6,140.9,9.0,,8.7,
1931,0.3,100.5,120.2,8.6,,8.5,
1932,7.3,117.8,88.7,8.1,,6.9,
1933,13.0,128.8,103.2,8.4,,6.6,
1934,4.2,106.2,141.8,10.0,,9.4,
1935,5.6,107.9,146.9,9.7,,8.9,
1936,20.1,127.2,167.3,9.2,,7.2,
1937,18.7,120.6,199.8,10.0,,8.3,
1938,-3.9,96.7,233.9,7.7,,7.9,
1939,7.1,107.7,192.1,6.3,,5.9,
1940,30.9,161.7,130.9,4.4,,2.7,
1941,35.7,164.5,146.4,4.0,,2.4,
1942,13.2,111.7,239.0,2.7,,2.4,
1943,41.4,126.6,352.1,2.8,,2.2,
1944,51.7,141.0,304.2,3.5,,2.5,
1945,71.3,173.5,265.2,4.0,,2.3,
1946,95.7,180.5,333.5,5.9,,3.3,
1947,-21.3,91.3,467.9,8.3,,9.1,
1948,-78.3,71.5,471.9,5.8,,8.1,
1949,-42.4,85.4,538.0,7.7,,9.0,
1950,-22.2,92.2,549.1,7.6,,8.3,
1951,-88.0,78.1,716.2,7.6,,9.7,
1952,-193.0,65.3,918.8,7.6,,11.6,
1953,-136.5,74.4,928.6,7.1,,9.6,
1954,-143.4,70.0,813.3,5.9,,8.4,
1955,-184.3,63.0,811.0,4.6,,7.3,
1956,-102.4,74.9,712.3,3.9,,5.2,
1957,-51.9,86.9,742.3,3.3,,3.8,
1958,-67.8,78.5,562.4,2.0,,2.5,
1959,-116.2,75.3,823.8,2.3,,3.0,
1960,-147.5,68.5,788.9,3.3,,4.7,
1961,-160.5,68.4,853.9,6.3,,9.3,
1962,-238.3,61.5,1000.6,6.0,,9.7,
1963,-319.5,53.5,1055.7,5.0,,9.3,
1964,-126.5,76.5,948.0,5.2,,6.8,
1965,-108.2,81.1,1035.7,5.4,,6.7,
1966,-227.8,68.3,1208.8,4.8,,7.1,
1967,-162.3,76.3,1207.0,4.6,,6.1,
1968,-267.2,65.0,1260.1,2.7,,4.2,
1969,-264.4,67.0,1338.1,2.6,,3.9,
1970,-359.1,62.1,1536.1,3.1,,5.0,
1971,-494.2,57.8,1847.4,3.5,,6.0,
1972,-677.6,56.6,2447.5,3.8,,6.7,
1973,-769.1,63.1,3403.3,4.5,,7.2,
1974,-2245.4,40.6,5309.7,3.9,,9.7,
1975,-3337.5,29.6,6139.6,2.9,,9.8,
1976,-3168.4,38.2,7088.9,3.5,,9.3,
1977,-4043.3,30.2,7549.3,2.8,,9.4,
1978,-2310.9,49.8,6887.2,3.4,,6.8,
1979,-2808.3,44.6,7330.6,2.6,,5.9,
1980,-4999.3,36.8,10819.6,4.2,,11.4,
1981,-4230.4,52.6,13636.3,6.6,,12.6,
1982,-3096.7,65.0,14588.6,8.8,,13.6,
1983,-3507.2,62.0,14962.8,9.3,,15.0,
1984,-3623.3,66.3,17890.5,11.8,,17.7,
1985,-3385.4,70.2,19301.4,11.7,,16.7,
1986,-3648.0,67.1,18561.5,9.8,,14.6,
1987,-3967.8,72.0,24347.9,11.8,,16.5,
1988,-2673.4,81.4,25997.4,13.0,,15.8,
1989,-4167.5,73.6,27416.8,10.8,,14.7,
1990,-9342.8,58.1,35261.4,8.6,,14.8,
1991,-7453.6,64.6,34640.5,9.0,,14.0,
1992,-8156.4,64.3,37585.7,9.2,,14.5,
1993,-14083.3,52.1,44773.4,8.6,,16.5,
1994,-5164.1,77.8,41375.9,14.1,,17.6,
1995,-14072.0,60.6,57346.1,12.7,,21.0,
1996,-20402.2,53.2,66851.1,12.7,,23.8,
1997,-22297.6,54.1,74819.8,13.7,,25.2,
1998,-18947.4,58.7,72895.3,13.1,10.0,22.2,16.9
1999,-14084.0,65.4,67258.5,14.3,10.7,22.0,16.4
2000,-26727.9,51.0,82277.7,13.8,10.4,27.3,20.5
2001,-10064.9,75.7,72733.3,22.0,16.1,28.6,21.0
2002,-15494.7,69.9,87612.9,19.9,15.6,28.5,22.4
2003,-22086.9,68.1,116592.5,19.7,15.5,29.0,22.7
2004,-34372.6,64.8,160706.9,21.1,16.2,32.6,25.0
2005,-43297.7,62.9,190250.6,20.4,15.3,32.4,24.3
2006,-54041.5,61.3,225110.9,21.4,16.3,34.9,26.5
2007,-62791.0,63.1,277334.5,,16.5,,26.2
2008,-69936.4,65.4,333990.8,,17.9,,27.2
2009,-38785.8,72.5,243071.0,,16.6,,22.9
2010,-71661.1,61.4,299427.6,,15.6,,25.4
2011,-105934.8,56.0,375748.5,,17.4,,31.1
