Table_11.42,Employment in Financial Intermediary Institutions - Annual Average Number of Employees (Ucretle calisanlar) (ISIC Rev.3)
ISIC_Rev3_Code,Economic_Activity,1993,1994,1995,1996,1997,1998,1999,2000,2001
Total,Toplam - Total,173460,172421,170779,177514,192470,210573,224019,226919,174782
6511_6519,Banks (Central Bank included) Special Finance Houses,158582,155163,153941,155461,161081,170654,181175,180375,131948
6591,Financial Leasing Companies,571,720,658,995,1500,2047,1949,1942,1585
6592,Agricultural Credit Cooperatives and other credit granting,82,82,82,130,1741,8896,8742,8195,7872
6599,Factoring Companies and other financial intermediation,183,183,183,238,1405,1877,1834,1873,1839
6601,Life Insurance,537,910,1036,1448,2043,3019,4015,4526,4140
6603,Non-life Insurance,4822,5057,5180,6140,6031,6386,6435,7084,6597
6712,Mutual Funds Companies and activities auxiliary,1975,2781,3216,3857,5714,7310,7291,8427,7735
6719,Foreign Exchange Offices and other activities auxiliary,1934,2751,1709,2994,2275,3296,3619,3595,3571
6720,Insurance Agency,4774,4774,4774,6251,10680,7088,8959,10902,9495
