Table,19.10 Dış borçlara ait bazı göstergeler / Some Indicators of Outstanding External Debt
Source,Hazine Müsteşarlığı / Undersecretariat of Treasury
Unit,"%"
,,,,,,,,,,
Year,DebtService_Exports_pct,DebtService_GNP_pct,ExtDebt_Exports_pct,ExtDebt_GNP_pct,ShortTerm_ExtDebt_pct,Total_AnnualChange_pct,ShortTerm_AnnualChange_pct,MediumTerm_AnnualChange_pct
1965,39.44,1.49,226.72,8.54,,,,9.10
1966,29.79,1.00,234.25,7.83,,,,9.28
1967,24.66,0.79,246.20,7.90,,,,11.92
1968,25.89,0.71,302.47,8.32,,,,16.76
1969,27.18,0.72,312.65,8.31,,,,11.78
1970,33.90,1.05,321.34,9.94,,,,12.67
1971,28.17,1.11,321.75,12.62,,,,15.12
1972,34.29,1.38,258.88,10.43,,,,5.24
1973,15.37,0.72,201.48,9.49,,,,15.83
1974,14.99,0.60,189.36,7.59,,,,9.33
1975,17.72,0.52,232.38,6.87,,,,12.22
1976,15.93,0.58,214.96,7.85,,,,29.42
1977,24.56,0.70,274.90,7.87,,,,14.37
1978,15.87,0.54,294.95,10.10,,,,40.05
1979,19.20,0.53,437.07,12.10,,,,46.43
1980,95.05,0.29,454.59,19.34,,,,33.86
1981,58.09,0.63,307.21,20.21,,,,9.21
1982,55.13,0.94,280.07,25.06,,,,11.39
1983,63.67,6.03,335.87,31.80,11.86,,,5.37
1984,48.97,5.91,289.60,34.96,15.39,7.39,39.41,3.08
1985,49.77,5.92,320.13,38.09,18.68,23.32,49.65,18.53
1986,57.76,5.73,430.50,42.70,19.78,26.00,33.41,24.30
1987,49.79,5.90,394.78,46.79,18.95,25.32,20.07,26.61
1988,57.67,7.44,349.18,45.02,15.76,1.23,-15.82,5.21
1989,59.61,6.44,359.16,38.82,13.76,2.53,-10.47,4.96
1990,55.57,4.79,378.38,32.59,19.37,17.45,65.36,9.80
1991,55.36,5.01,371.42,33.61,18.06,2.97,-4.03,4.65
1992,54.97,5.10,377.80,35.05,22.77,10.11,38.86,3.77
1993,51.31,4.44,438.94,37.45,27.51,21.16,46.39,13.72
1994,51.76,6.99,362.32,48.29,17.24,-2.61,-38.97,11.20
1995,46.08,5.77,338.69,41.93,21.43,11.70,38.82,6.05
1996,42.75,5.38,344.97,43.45,25.74,8.86,30.79,2.87
