Table,18.3,Bankacilik sektoru-Yurtici kredi hacmi / Banking Sector-Domestic Loans,Source: T.C. Merkez Bankasi
Unit,Million TL (Milyon TL),,,,,,,
Note_1,"Special Finance Houses reclassified from Non-Bank Financial Institutions to interbank credits from December 2002",,,,,,,,
Note_2,"2005-2008 data in YTL; from 1.1.2009 YTL renamed TL",,,,,,,,
Note_3,"Interbank credits excluded from credit stock",,,,,,,,
Year,Total,Total_GNP_pct,Total_GDP_pct,Central_Government,Non_Financial_Public_Enterprises,Private_Sector,Other_Financial_Institutions
1970,56994,27.4,,6234,16962,33798,
1971,67830,26.0,,8813,20418,38599,
1972,83963,26.7,,10588,22544,50831,
1973,106917,26.8,,11412,28360,67145,
1974,149011,27.7,,16469,46056,86486,
1975,208428,30.2,,21880,62754,123794,
1976,299034,34.4,,27521,107093,164420,
1977,414191,37.4,,52869,151514,209808,
1978,526037,32.0,,66351,192104,267582,
1979,796088,27.7,,102731,297121,396236,
1980,1326341,25.0,,199484,437646,689211,
1981,2059078,25.7,,279358,548454,1230645,
1982,2668394,25.1,,283033,646245,1738311,
1983,3426366,24.6,,376574,710667,2338438,
1984,4231803,19.1,,582563,485082,3163720,
1985,7114780,20.1,,1070461,868342,5175490,
1986,13194000,25.8,,1936000,2102800,8992500,162700
1987,20813200,27.7,,2649800,3817000,13935700,410700
1988,29930900,23.2,,3115100,6033400,20097900,684500
1989,44767600,19.4,,4983800,5537000,33520000,726800
1990,73962800,18.6,,6028700,7618500,59406700,908900
1991,130794600,20.6,,19020600,14184700,96132300,1457000
1992,244420300,22.1,,41123300,18936900,181591400,2768700
1993,453770200,22.7,,75665000,36681900,334360900,7062400
1994,773943600,19.9,,122465600,69860100,572372000,9245900
1995,1622660000,20.7,,212842900,39174300,1354234500,16408300
1996,3660765800,24.4,,383491300,49029300,3193581700,34663500
1997,7942956700,27.0,,359374800,216919800,7286342600,80319500
1998,11773390400,22.0,16.8,14755500,284935500,11336582500,137116900
1999,17370922300,22.2,16.6,129979000,605004300,16178904000,457035000
2000,28652548700,22.8,17.2,233179000,532892700,26594336000,1292141000
2001,36111033000,20.5,15.0,1291552000,378973000,32617751000,1822757000
2002,36630250000,13.3,10.5,720812000,22557000,34215046000,1671835000
2003,54046123000,15.2,11.9,452959000,190854000,51348522000,2053788000
2004,83380036000,19.4,14.9,679813000,352637000,79300881000,3046705000
2005,133230933000,27.4,20.5,659081000,829947000,128194227000,3547678000
2006,186524617000,32.4,24.6,517042000,1325853000,179604246000,5077476000
2007,239696474000,,28.4,100097000,1918343000,229318286000,8359748000
2008,296075805000,,31.1,0,3973958000,281841539000,10260308000
2009,332399349000,,34.9,16000,2069042000,313713264000,16617027000
2010,475109122000,,43.2,4656000,1339458000,451760481000,22004527000
2011,628832568000,,48.4,4605000,507943000,608449968000,19870052000
