Table 8.7 - Employed persons by major occupational groups [15+ age] ISCO-88 New Series Part 2 (Bin-Thousand)
Source: TurkStat Household Labour Force Survey Results
Note: (1) Revised by new population projections. Data from 2008 weighted by renewed projections.
Year,Sex,Service_Sales_Workers,Skilled_Agricultural_Fishery_Workers,Craft_Related_Trades,Plant_Machine_Operators_Assemblers,Elementary_Occupations
2001,Total,1928,7773,3299,1716,1836
2002,Total,2172,6784,3079,1764,2299
2003,Total,2179,6755,2944,1801,1982
2004,Total,2102,4967,2892,2007,2401
2005,Total,2159,4502,3044,2134,2446
2006,Total,2421,4138,3025,2211,2710
2007,Total,2566,4068,3042,2314,2855
2008,Total,2553,4121,3022,2282,3120
2009,Total,2648,4304,2885,2058,3291
2010,Total,2758,4692,3080,2334,3363
2011,Total,2984,4902,3174,2430,3825
2001,Male,1666,4113,2910,1597,1491
2002,Male,1830,3501,2661,1627,1643
2003,Male,1827,3486,2597,1639,1555
2004,Male,1746,2826,2557,1812,1676
2005,Male,1756,2498,2708,1913,1734
2006,Male,1943,2295,2703,1990,1886
2007,Male,2042,2281,2758,2084,1966
2008,Male,2005,2331,2736,2075,2118
2009,Male,2054,2452,2547,1875,2208
2010,Male,2124,2599,2702,2102,2193
2011,Male,2239,2743,2814,2191,2434
2001,Female,262,3660,389,119,345
2002,Female,342,3283,418,138,656
2003,Female,352,3269,347,161,427
2004,Female,356,2141,335,195,725
2005,Female,402,2004,336,221,711
2006,Female,478,1842,322,221,824
2007,Female,524,1787,284,230,889
2008,Female,548,1790,287,207,1002
2009,Female,594,1852,338,183,1083
2010,Female,634,2093,378,232,1171
2011,Female,745,2159,360,239,1391
