Table 8.1 - Non-institutional population by labour force status [Total] (Bin-Thousand / %)
Source: TurkStat Household Labour Force Survey Results
Year,Sex,Total_Population,Age_15minus,Age_15plus,Rate_of_age_15plus_pct,Labour_Force,Not_in_Labour_Force,Labour_Force_Participation_Rate_pct,Employed,Unemployment,Unemployment_Rate_pct,Employment_Rate_pct
1988,Total,53284,19538,33746,63.3,19391,14355,57.5,17755,1638,8.4,52.6
1989,Total,54047,19732,34315,63.5,19931,14385,58.1,18222,1709,8.6,53.1
1990,Total,55294,19694,35601,64.4,20150,15451,56.6,18539,1612,8.0,52.1
1991,Total,56407,19538,36869,65.4,21010,15859,57.0,19288,1723,8.2,52.3
1992,Total,57521,19537,37984,66.0,21264,16720,56.0,19459,1805,8.5,51.2
1993,Total,58478,19521,38957,66.6,20314,18643,52.1,18500,1815,8.9,47.5
1994,Total,59455,19417,40038,67.3,21877,18162,54.6,20006,1871,8.6,50.0
1995,Total,60585,19409,41176,68.0,22286,18890,54.1,20586,1700,7.6,50.0
1996,Total,61724,19482,42243,68.4,22697,19546,53.7,21194,1503,6.6,50.2
1997,Total,62871,19572,43299,68.9,22755,20544,52.6,21204,1552,6.8,49.0
1998,Total,64008,19713,44295,69.2,23385,20911,52.8,21779,1607,6.9,49.2
1999,Total,65139,19829,45311,69.6,23878,21433,52.7,22048,1830,7.7,48.7
2000,Total,66187,19976,46211,69.8,23078,23133,49.9,21581,1497,6.5,46.7
2001,Total,67296,20138,47158,70.1,23491,23667,49.8,21524,1967,8.4,45.6
2002,Total,68393,20352,48041,70.2,23818,24223,49.6,21354,2464,10.3,44.4
2003,Total,69479,20567,48912,70.4,23640,25272,48.3,21147,2493,10.5,43.2
1988,Male,26648,9987,16661,62.5,13536,3125,81.2,12520,1017,7.5,75.1
1989,Male,27092,10130,16962,62.6,13664,3299,80.6,12548,1116,8.2,74.0
1990,Male,27662,10107,17556,63.5,13990,3566,79.7,12901,1089,7.8,73.5
1991,Male,28274,9998,18277,64.6,14665,3612,80.2,13395,1271,8.7,73.3
1992,Male,28829,9991,18838,65.3,15002,3837,79.6,13682,1321,8.8,72.6
1993,Male,29256,9972,19284,65.9,15046,4239,78.0,13723,1323,8.8,71.2
1994,Male,29708,9894,19815,66.7,15553,4263,78.5,14191,1362,8.8,71.6
1995,Male,30269,9881,20388,67.4,15858,4530,77.8,14628,1230,7.8,71.7
1996,Male,30834,9910,20924,67.9,16183,4742,77.3,15067,1116,6.9,72.0
1997,Male,31407,9950,21457,68.3,16464,4994,76.7,15400,1065,6.5,71.8
1998,Male,31972,10016,21956,68.7,16848,5108,76.7,15687,1162,6.9,71.4
1999,Male,32533,10071,22462,69.0,17025,5437,75.8,15713,1312,7.7,70.0
2000,Male,33058,10142,22916,69.3,16890,6025,73.7,15780,1111,6.6,68.9
2001,Male,33609,10220,23389,69.6,17040,6349,72.9,15555,1485,8.7,66.5
2002,Male,34154,10327,23827,69.8,17058,6768,71.6,15232,1826,10.7,63.9
2003,Male,34692,10432,24260,69.9,17086,7174,70.4,15256,1830,10.7,62.9
1988,Female,26636,9550,17085,64.1,5855,11230,34.3,5235,621,10.6,30.6
1989,Female,26955,9602,17353,64.4,6267,11086,36.1,5674,593,9.5,32.7
1990,Female,27632,9587,18045,65.3,6160,11885,34.1,5637,524,8.5,31.2
1991,Female,28133,9541,18592,66.1,6345,12247,34.1,5893,452,7.1,31.7
1992,Female,28692,9547,19145,66.7,6262,12884,32.7,5778,484,7.7,30.2
1993,Female,29222,9549,19673,67.3,5269,14406,26.8,4777,491,9.3,24.3
1994,Female,29747,9524,20223,68.0,6324,13899,31.3,5815,509,8.0,28.8
1995,Female,30316,9529,20787,68.6,6428,14360,30.9,5958,470,7.3,28.7
1996,Female,30891,9572,21319,69.0,6514,14805,30.6,6127,387,5.9,28.7
1997,Female,31465,9623,21842,69.4,6292,15551,28.8,5805,487,7.7,26.6
1998,Female,32036,9697,22339,69.7,6537,15803,29.3,6092,445,6.8,27.3
1999,Female,32606,9758,22849,70.1,6853,15996,30.0,6335,518,7.6,27.7
2000,Female,33129,9834,23295,70.3,6188,17108,26.6,5801,387,6.3,24.9
2001,Female,33687,9918,23769,70.6,6451,17318,27.1,5969,482,7.5,25.1
2002,Female,34239,10025,24214,70.7,6760,17455,27.9,6122,638,9.4,25.3
2003,Female,34787,10135,24652,70.9,6555,18098,26.6,5891,663,10.1,23.9
