Table_11.42,Employment and Basic Indicators in Financial Intermediary Institutions - Output (Cikti) (Million TL) (ISIC Rev.3)
ISIC_Rev3_Code,Economic_Activity,1993,1994,1995,1996,1997,1998,1999,2000,2001
Total,Toplam - Total,202461287,584955449,1248859719,2556398733,4809052037,10917774474,24896834917,30015246275,97365305973
6511_6519,Banks (Central Bank included) Special Finance Houses,164543934,511314854,681558626,1728006640,3791568919,8395669707,20356432866,23557133248,87923229402
6591,Financial Leasing Companies,7265574,19582323,35579494,105516369,292936673,657434176,1038258198,1429628221,2104756730
6592,Agricultural Credit Cooperatives and other credit granting,15347,26857,58819,1051720,82745293,501436838,723957393,946497054,1316099281
6599,Factoring Companies and other financial intermediation,425306,744286,1629984,6620111,127691900,264228789,407666423,460747031,1085742839
6601,Life Insurance,4958134,6911267,16266710,43712269,107904884,264681718,692017356,869056930,1311551325
6603,Non-life Insurance,20674511,32860841,64173765,136719373,277488823,524133211,1099517265,1731326319,2268659915
6712,Mutual Funds Companies and activities auxiliary,1986924,5292838,436640998,512984295,88672029,219385088,369233590,696969057,994314555
6719,Foreign Exchange Offices and other activities auxiliary,1067796,2523317,1667569,5935540,10401644,43951610,81763343,114091803,80014684
6720,Insurance Agency,1523761,5698866,11283754,15852416,29641872,46853337,127988483,209796612,280937242
