Table 8.6 - Employed persons by educational status [15+ age] (Bin-Thousand)
Source: TurkStat Household Labour Force Survey Results
Note: (1) Revised by new population projections. Data from 2008 weighted by renewed projections.
Year,Sex,Total,Illiterate,Literate,Literate_No_School_Completed,Primary_School,Primary_Ed_Junior_High_Equivalent,General_High_School,Vocational_High_School,Higher_Education
1988,Total,17754,3112,14642,1597,9410,1164,1015,586,870
1989,Total,18222,3036,15186,1596,9774,1297,1025,554,940
1990,Total,18538,2851,15688,1416,10178,1376,1138,594,988
1991,Total,19287,2834,16455,1307,10955,1387,1268,539,1000
1992,Total,19460,2526,16933,1263,10987,1506,1481,620,1078
1993,Total,18501,1854,16648,1108,10686,1502,1673,547,1133
1994,Total,20007,2147,17859,1159,11478,1591,1803,590,1239
1995,Total,20586,2092,18494,1050,11424,1909,2067,722,1323
1996,Total,21195,2125,19070,903,11803,1919,2161,837,1448
1997,Total,21203,1957,19246,728,11860,2008,2103,970,1579
1998,Total,21778,1925,19854,702,11973,2206,2405,936,1633
1999,Total,22048,1961,20088,764,11936,2274,2335,1017,1764
2000,Total,21581,1917,19664,708,11384,2112,2333,1233,1894
2001,Total,21524,1899,19625,748,11201,2126,2185,1415,1950
2002,Total,21355,1649,19706,678,10794,2300,2186,1609,2139
2003,Total,21148,1493,19655,608,10327,2417,2234,1736,2333
2004,Total,19632,1250,18382,722,9109,2439,2382,1515,2215
2005,Total,20067,1109,18958,871,8659,2740,2349,1858,2481
2006,Total,20423,1062,19361,907,8484,2904,2313,2059,2694
2007,Total,20738,990,19748,922,8384,3036,2365,2157,2884
2008,Total,21194,960,20234,976,8344,3206,2356,2212,3140
2009,Total,21277,1002,20275,988,8251,3323,2266,2126,3321
2010,Total,22594,1081,21513,1088,8602,3737,2295,2179,3612
2011,Total,24110,1148,22962,1193,8912,4119,2432,2297,4009
1988,Male,12520,1305,12242,1158,7145,1027,762,467,656
1989,Male,12549,1134,12526,1104,7276,1111,781,451,692
1990,Male,12901,1045,13054,981,7627,1198,861,462,729
1991,Male,13395,995,13607,876,8174,1207,993,430,721
1992,Male,13681,910,14086,805,8275,1315,1139,485,753
1993,Male,13724,754,14308,761,8310,1338,1307,432,822
1994,Male,14191,761,14809,762,8513,1379,1424,489,866
1995,Male,14628,732,15578,696,8397,1682,1618,582,923
1996,Male,15067,752,16018,606,8623,1703,1696,673,1015
1997,Male,15399,744,16437,532,8849,1782,1631,780,1083
1998,Male,15687,687,16941,505,8836,1941,1875,738,1106
1999,Male,15713,630,17071,495,8779,1988,1814,816,1192
2000,Male,15780,670,16978,476,8697,1868,1834,972,1263
2001,Male,15555,634,16816,488,8335,1895,1747,1147,1309
2002,Male,15232,490,16734,425,7849,1992,1730,1311,1435
2003,Male,15257,451,16863,373,7600,2057,1783,1419,1574
2004,Male,14586,439,14147,485,6958,2071,1903,1225,1505
2005,Male,14959,359,14600,551,6676,2321,1865,1524,1663
2006,Male,15165,340,14825,559,6548,2448,1812,1676,1782
2007,Male,15382,302,15080,559,6503,2536,1819,1761,1902
2008,Male,15598,288,15310,570,6438,2676,1798,1785,2043
2009,Male,15406,306,15100,575,6231,2722,1738,1710,2124
2010,Male,16169,310,15859,623,6369,3025,1760,1741,2341
2011,Male,17137,325,16812,685,6523,3302,1862,1837,2603
1988,Female,5234,1807,3564,439,2265,137,253,119,214
1989,Female,5673,1902,3957,492,2498,186,244,103,248
1990,Female,5638,1806,4011,435,2551,179,277,132,259
1991,Female,5894,1839,4235,432,2781,180,275,110,279
1992,Female,5778,1616,4353,458,2712,191,342,135,325
1993,Female,4778,1100,3841,347,2376,164,366,115,311
1994,Female,5815,1386,4642,398,2966,213,379,101,374
1995,Female,5958,1360,4825,354,3027,228,449,140,401
1996,Female,6128,1373,4971,297,3180,216,465,164,433
1997,Female,5805,1214,4817,196,3011,226,472,190,497
1998,Female,6092,1238,5119,198,3137,265,530,198,528
1999,Female,6337,1331,5291,269,3158,286,521,201,572
2000,Female,5801,1247,4554,231,2687,245,498,261,632
2001,Female,5969,1266,4936,260,2866,231,438,268,642
2002,Female,6123,1159,5272,253,2945,308,456,298,704
2003,Female,5891,1042,5209,235,2727,360,451,317,759
2004,Female,5046,811,4235,237,2151,368,479,290,710
2005,Female,5108,750,4358,320,1983,419,484,334,818
2006,Female,5258,722,4536,348,1936,456,501,383,912
2007,Female,5356,688,4668,363,1881,500,546,396,982
2008,Female,5596,672,4924,406,1906,530,558,427,1097
2009,Female,5871,696,5175,413,2020,601,528,416,1197
2010,Female,6425,771,5654,465,2233,712,535,438,1271
2011,Female,6973,823,6150,508,2389,817,570,460,1406
