Table_11.5,Food beverage and tobacco industries (Gıda içki ve tütün sanayii)
Source,TurkStat Annual Manufacturing Industry Statistics
Unit,Million TL (Milyon TL) for financial columns; persons for employment
Note,"(1) 1969 = Estimate"

Year,Number_of_Establishments,Annual_Avg_Persons_Engaged,Annual_Payments_to_Employees_MilTL,Input_MilTL,Output_MilTL,Value_Added_MilTL
1950,1023,53467,59,655,984,329
1951,1137,66508,74,781,1153,372
1952,1211,61742,81,792,1233,441
1953,1395,75222,108,966,1452,486
1954,1448,75800,126,1171,1733,562
1955,1547,81447,153,1484,2215,731
1956,1598,86102,191,1781,2610,829
1957,1533,85026,225,2319,3392,1072
1958,1616,88001,275,2778,4018,1240
1959,1659,86331,361,3786,5696,1910
1960,1868,88174,401,4050,6428,2378
1961,2113,94947,433,4128,6270,2142
1962,990,90878,440,4050,6159,2109
1963,994,79111,455,5439,7362,1923
1964,982,97084,583,6068,8577,2508
1965,1042,105726,808,6903,10488,3585
1966,1004,106751,855,8235,12137,3902
1967,987,110027,968,9711,14981,5270
1968,962,115047,1132,9991,15523,5532
1969,977,116449,1227,11394,17660,6266
1970,1264,122594,1586,12266,19733,7467
1971,1329,125371,1916,16023,27625,11603
1972,1378,142672,2325,20136,32589,12453
1973,1440,142105,2755,26062,36801,10739
1974,1419,160489,3793,35278,50977,15699
1975,1482,150263,5277,46766,71079,24312
1976,1367,149989,8695,59091,84070,24979
1977,1391,167285,12569,71319,105882,34563
1978,1432,174299,18869,93608,141355,47747
1979,1474,183251,33316,157369,227864,70495
1980,1851,188160,53610,295902,447039,151137
1981,1994,177366,76417,514726,768376,253651
1982,2099,180134,92520,682874,1101295,418420
1983,2050,186901,120626,946745,1421709,474964
1984,1899,195042,159395,1522364,2252264,729900
1985,2277,193432,213824,2162866,3344577,1181711
1986,2158,193965,272873,3000236,4685543,1685307
1987,2000,189223,391061,4271280,6680419,2409139
1988,1978,188637,591969,7576511,12015409,4438898
1989,2083,197304,1374098,14051021,21642317,7591296
1990,1894,188373,2715218,21931180,34342842,12411662
1991,1762,183371,5647961,38019565,63474273,25454708
1992,2163,184759,10272795,68768617,112069022,43300405
1993,1966,177593,16819756,121507797,198092087,76584290
1994,1860,168911,27590531,257316381,393525623,136209242
1995,1791,168734,45326633,520215013,793106931,272891918
1996,1823,172578,77643216,957915038,1433663982,475748944
1997,1860,177470,157397532,2002411889,2752490664,750078775
1998,1930,186808,315465925,3617838195,5220645558,1602807363
1999,1780,179367,563168342,5245553312,7869122712,2623569400
2000,1711,174577,861163801,7606884593,11324141788,3717257195
2001,1718,166514,1119886689,12136592803,19459554859,7322962056
