table_number,table_name,source_chunk,pages
20.23 (continued),Share of GFCF in GDP by expenditure approach [At current prices] - capital formation breakdown,chunk_025,"748-749"

Year,GFCF_General_Total_pct,GFCF_PublicSector_Total_pct,GFCF_Public_MachineryEquipment_pct,GFCF_Public_BuildingConstruction_pct,GFCF_Public_OtherConstruction_pct,GFCF_PrivateSector_Total_pct,GFCF_Private_MachineryEquipment_pct,GFCF_Private_BuildingConstruction_pct
1980,18.1,53.1,46.4,19.6,34.0,46.9,16.7,83.3
1981,16.5,61.6,43.8,20.2,36.0,38.4,21.9,78.1
1982,15.1,62.0,47.0,18.2,34.8,38.0,31.5,68.5
1983,16.6,58.4,47.8,17.5,34.7,41.6,36.1,63.9
1984,17.5,52.6,42.3,20.2,37.6,47.4,45.4,54.6
1985,18.7,54.4,44.6,18.2,37.2,45.6,40.3,59.7
1986,23.0,46.7,39.3,18.5,42.2,53.3,39.0,61.0
1987,24.8,41.7,35.3,19.3,45.4,58.3,37.5,62.5
1988,26.8,34.4,37.9,18.8,43.3,65.6,30.6,69.4
1989,23.5,33.6,33.9,18.6,47.4,66.4,28.5,71.5
1990,23.0,31.7,30.9,19.9,49.2,68.3,38.6,61.4
1991,23.2,32.0,29.6,17.5,52.9,68.0,38.9,61.1
1992,22.9,31.5,31.8,17.3,50.9,68.5,40.0,60.0
1993,25.5,27.4,32.5,20.8,46.7,72.6,45.4,54.6
1994,23.7,23.2,25.2,17.0,57.8,76.8,39.1,60.9
1995,23.3,16.5,28.1,21.7,50.3,83.5,48.8,51.2
1996,25.8,18.5,25.0,22.2,52.8,81.5,53.0,47.0
1997,26.5,21.5,24.0,21.9,54.1,78.5,54.9,45.0
1998,24.0,24.9,26.0,23.4,50.6,75.1,51.8,48.2
1999,20.4,26.2,26.6,25.3,48.1,73.8,47.0,53.0
2000,21.8,26.8,26.8,28.0,45.2,73.2,58.0,42.0
2001,17.2,30.9,24.4,27.6,48.0,69.1,45.3,54.7
2002,16.5,32.1,26.7,30.1,43.2,67.9,55.4,44.6
2003,15.5,27.0,21.3,25.8,52.9,73.0,63.0,37.0
2004,18.0,20.9,23.9,20.9,55.2,79.1,67.3,32.7
2005,19.8,21.7,25.2,20.3,54.5,78.3,61.7,38.3
2006,21.9,20.5,18.3,19.0,62.7,79.5,55.5,44.5
