table_number,table_name,source_chunk,pages,unit,methodology,price_base
20.32,GDP growth rate by expenditure approach ESA-95 [At 1998 prices],chunk_026,"765",Percent (%),ESA-95,1998

Year,Resident_HH_Consumption_pct,Resident_NonResident_HH_Domestic_Consumption_pct,Resident_HH_Abroad_Consumption_pct,Less_NonResident_HH_Domestic_Consumption_pct,Govt_Final_Consumption_pct,Govt_CompensationEmployees_pct,Govt_PurchasesGoodsServices_pct,GFCF_Total_pct,GFCF_PublicSector_pct,GFCF_PrivateSector_pct,Exports_GoodsServices_pct,Less_Imports_GoodsServices_pct,GDP_pct
1999,0.1,-1.7,-5.9,-25.9,4.0,1.9,8.0,-16.2,-5.1,-19.0,-10.7,-3.7,-3.4
2000,5.9,8.1,10.1,48.5,5.7,-0.7,16.6,17.5,17.5,17.5,16.0,21.8,6.8
2001,-6.6,-5.5,1.8,9.9,-1.1,3.7,-8.0,-30.0,-20.2,-32.9,3.9,12.2,-5.7
2002,4.7,4.9,13.9,7.8,5.8,1.6,12.8,14.7,8.3,16.9,6.9,6.9,6.2
2003,10.2,9.2,0.1,-2.8,-2.6,1.1,-8.1,14.2,-15.1,23.7,6.9,-24.8,5.3
2004,11.0,10.2,3.7,-0.5,6.0,0.2,15.5,28.4,-6.6,36.1,11.2,20.9,9.4
2005,7.9,7.5,6.6,3.0,2.5,-0.8,7.1,17.4,25.0,16.2,7.9,23.5,8.4
2006,4.6,4.6,-13.9,0.9,8.4,0.4,19.0,13.3,2.6,15.0,6.6,6.9,6.9
2007,5.5,4.7,-7.1,0.9,6.5,1.1,12.6,3.1,6.3,2.6,7.3,10.7,4.7
2008,-0.3,-0.4,-11.8,-3.5,1.7,-0.4,3.9,-6.2,12.7,-9.0,2.7,-4.1,0.7
2009,-2.3,-2.0,40.2,8.4,7.8,1.4,13.9,-19.0,-0.6,-22.5,-5.0,-14.3,-4.8
2010,6.7,5.9,8.1,-4.9,2.0,1.2,2.7,30.5,17.7,33.6,3.4,20.7,9.2
2011,7.8,7.3,-11.4,-4.0,4.5,3.9,5.0,18.5,-3.3,23.1,6.4,10.9,8.5
