Table_11.41,Production of Selected Industrial Products (enterprises 20+ employees) - continued
Product_Turkish,Product_English,Unit,2005,2006,2007,2008,2009,2010
Koaksiyel kablo ve diğer koaksiyel elektrik iletkenleri,Coaxial cable and other coaxial electric conductors,Kg,238977140,229390682,194103589,168168428,134291523,81940693
Diğer elektrik iletkenleri,Other electric conductors,Kg,406777433,486542611,517020390,552882876,528802984,627425734
Buzdolapları,Refrigerators,Piece,5537162,6641361,6661410,5914434,5351047,7164718
Çamaşır makineleri ve kurutma makineleri ev tipi,Cloth washing and drying machines household type,Piece,4442124,5440377,5430666,4800417,5052253,5560194
Vantilatör ve aspiratörlü davlumbazlar ev tipi,Fans and ventilating or recycling hoods domestic type,Piece,2687448,2272109,2535415,2219318,1808201,3533433
Elektrikli süpürgeler,Vacuum cleaners,Piece,2577161,2403756,2411153,2406621,2343170,3289326
Fırınlar,Ovens,Piece,4810177,6620648,6437076,6842746,6377057,6778377
Traktörler,Tractors,Piece,40381,44050,40733,31110,21212,45200
Otomobiller,Automobiles,Piece,649273,758424,856651,900389,753276,886201
Minibüs-Midibüs ve Otobüsler,Minibus-Midibus and Buses,Piece,65293,54864,47156,44023,25169,28909
Kamyon,Truck,Piece,36202,37363,35703,36216,8376,16573
Jantlar,Tire rim,Kg,205382440,124114571,127796857,100661507,69677208,110460015
Bisikletler,Bicycles,Piece,923142,833215,823934,772102,587570,1038107
