table_number,table_title_tr,table_title_en,unit,price_basis
20.37,Gelir yöntemiyle Gayri Safi Yurtiçi Hasılanın yüzde dağılımı,Share of Gross Domestic Product by cost components,Percent (%) of GDP,Current prices

year,taxes_on_production_and_imports_net_share,taxes_on_production_and_imports_share,subsidies_share,consumption_of_fixed_capital_share,compensation_of_employees_share,operating_surplus_share,gross_domestic_product_share
1980,5.2,7.4,2.1,4.8,27.1,62.8,100.0
1981,5.3,7.6,2.4,5.4,23.8,65.6,100.0
1982,4.7,6.6,1.9,5.7,22.5,67.1,100.0
1983,5.6,7.9,2.3,6.3,23.4,64.7,100.0
1984,4.5,7.0,2.5,7.0,21.0,67.5,100.0
1985,5.3,7.3,2.0,7.3,19.7,67.7,100.0
1986,7.0,8.5,1.5,7.2,19.4,66.4,100.0
1987,8.1,9.0,0.9,7.0,20.7,64.2,100.0
1988,7.8,8.8,0.9,7.4,21.5,63.2,100.0
1989,7.6,8.7,1.0,6.5,24.0,61.8,100.0
1990,8.6,9.7,1.1,5.9,27.2,58.3,100.0
1991,8.9,10.5,1.6,6.2,31.9,53.1,100.0
1992,8.6,10.8,2.2,6.1,31.7,53.6,100.0
1993,9.3,11.2,1.9,5.7,30.9,54.1,100.0
1994,8.4,10.8,2.4,7.0,25.5,59.1,100.0
1995,9.7,10.9,1.2,6.5,22.2,61.6,100.0
1996,10.0,11.7,1.6,6.3,23.9,59.8,100.0
1997,11.1,12.4,1.3,6.1,25.8,57.1,100.0
1998,10.5,12.2,1.7,6.3,25.5,57.7,100.0
1999,11.0,13.1,2.1,6.9,30.7,51.4,100.0
2000,13.5,14.8,1.3,6.6,29.2,50.8,100.0
2001,14.0,15.3,1.3,8.3,28.3,49.4,100.0
2002,15.1,15.6,0.4,8.6,26.3,50.0,100.0
2003,16.3,16.5,0.3,7.6,26.1,50.0,100.0
2004,16.9,17.1,0.2,7.0,26.3,49.8,100.0
2005,17.8,18.0,0.2,6.5,26.6,49.0,100.0
2006,17.5,17.7,0.2,6.2,26.2,50.1,100.0

notes,"(1) Operating surplus calculated as a residual from the GDP by production method. (2) GDP by kind of activity (production method). Shares sum to 100.0 percent."
