Table,19.14 Türkiye brüt dış borç stoku - Alacaklı dağılımı (2006-2011) / Gross External Debt - By Lender (2006-2011)
Source,Hazine Müsteşarlığı / Undersecretariat of Treasury
Unit,Million USD
,,,,,,,
Lender_Category,2006,2007,2008,2009,2010,2011
Total,208406,250412,281382,269548,292222,306704
ShortTerm_Total,42860,43152,52527,49045,77469,83847
ShortTerm_PrivateCreditors,42860,43152,52527,49045,77469,83847
ShortTerm_MonetaryInst,20998,16396,23917,20478,48122,49732
ShortTerm_NonMonetary,21862,26756,28610,28567,29347,34115
LongTerm_Total,165546,207260,228855,220503,214753,222857
LongTerm_PrivateCreditors,99448,139025,156112,141006,128435,130245
LongTerm_Private_MonetaryInst,79759,116671,131927,117277,104244,106854
LongTerm_Private_NonBankFin,5334,6919,6697,6496,5889,5651
LongTerm_Private_ForeignCommBanks,52526,75344,80706,72669,67007,73182
LongTerm_Private_DomBanksAbroad,21867,34359,44485,38075,31340,28015
LongTerm_Private_NonMonetary,19689,22354,24185,23729,24191,23391
LongTerm_OfficialCreditors,29751,29491,33837,38598,40934,42081
LongTerm_Official_GovtOrgs,6781,6703,7297,7499,7930,7961
LongTerm_Official_PublicFinance,1256,1322,1681,2121,2093,2295
LongTerm_Official_CentralBanks,0,0,0,0,0,0
LongTerm_Official_CentralGovts,1139,812,635,497,365,276
LongTerm_Official_DevBanks,4386,4568,4981,4880,5472,5390
LongTerm_Multilateral,22970,22788,26540,31099,33004,34121
LongTerm_IMF,10759,7144,8563,9434,7107,4361
LongTerm_IMF_SDR,0,0,0,1499,1478,1476
LongTerm_IBRD,6855,7563,8013,9767,11522,12224
LongTerm_OtherMultilateral,5357,8081,9963,11898,14375,17536
Bonds,36347,38744,38907,40899,45385,50531
