Table_8.11,Employed persons by age group (15+ age) - Part 1: 1988-2003
Source,TurkStat Household Labour Force Survey Results
Unit,Thousand (Bin)

Year,Sex,Total,Age_15to19,Age_20to24,Age_25to29,Age_30to34,Age_35to39,Age_40to44,Age_45to49,Age_50to54,Age_55to59,Age_60to64,Age_65plus
1988,Total,17756,2545,2121,2527,2302,2135,1591,1341,1150,997,557,490
1989,Total,18222,2536,2079,2519,2400,2243,1692,1334,1147,1059,683,531
1990,Total,18539,2503,2143,2572,2394,2307,1784,1400,1227,1014,689,509
1991,Total,19287,2725,2570,2776,2659,2312,1761,1397,1164,916,531,478
1992,Total,19460,2540,2627,2835,2680,2393,1858,1402,1152,895,562,519
1993,Total,18499,2264,2430,2767,2615,2362,1874,1368,1044,804,529,444
1994,Total,20007,2490,2715,2939,2771,2489,2008,1454,1113,918,566,547
1995,Total,20586,2368,2697,3075,2860,2589,2164,1503,1149,918,631,633
1996,Total,21194,2439,2815,3188,2907,2661,2257,1530,1147,921,655,677
1997,Total,21203,2323,2764,3288,2925,2663,2271,1625,1124,909,649,664
1998,Total,21777,2261,2750,3468,2989,2741,2343,1711,1155,914,688,758
1999,Total,22047,2277,2761,3453,3086,2776,2404,1739,1175,869,690,819
2000,Total,21581,2061,2635,3539,3078,2737,2386,1782,1160,852,606,745
2001,Total,21525,1847,2613,3506,3165,2744,2404,1844,1188,842,618,754
2002,Total,21351,1696,2439,3540,3255,2771,2407,1884,1209,825,630,695
2003,Total,21148,1475,2302,3545,3331,2840,2464,1894,1254,795,576,672
1988,Male,12522,1542,1344,1872,1720,1588,1168,979,781,738,413,377
1989,Male,12548,1479,1288,1838,1737,1641,1213,956,772,737,483,404
1990,Male,12902,1515,1337,1884,1751,1691,1308,1002,839,689,494,393
1991,Male,13395,1664,1578,2060,1983,1715,1283,999,790,597,374,356
1992,Male,13682,1592,1639,2111,2001,1764,1363,1012,814,609,404,375
1993,Male,13723,1487,1608,2128,2053,1829,1444,1048,786,600,399,343
1994,Male,14192,1554,1726,2211,2077,1877,1500,1051,779,633,395,390
1995,Male,14628,1442,1750,2280,2154,1947,1600,1113,823,633,442,448
1996,Male,15067,1500,1817,2403,2207,1994,1689,1125,802,621,436,475
1997,Male,15399,1524,1797,2517,2249,2043,1729,1203,810,620,446,463
1998,Male,15687,1458,1761,2600,2306,2078,1771,1287,820,623,474,512
1999,Male,15713,1465,1722,2600,2332,2090,1804,1303,844,590,437,529
2000,Male,15780,1375,1715,2644,2356,2093,1842,1368,845,593,426,523
2001,Male,15556,1228,1658,2630,2388,2072,1827,1387,846,593,424,503
2002,Male,15232,1093,1503,2628,2434,2075,1815,1389,860,572,407,456
2003,Male,15256,943,1458,2640,2524,2132,1864,1415,913,534,385,448
1988,Female,5234,1003,777,655,582,547,423,362,369,259,144,113
1989,Female,5674,1057,791,681,663,602,479,378,375,322,200,127
1990,Female,5637,988,807,688,643,616,476,398,388,325,195,116
1991,Female,5892,1062,993,716,676,597,478,399,374,320,157,122
1992,Female,5778,948,989,724,679,630,495,390,338,286,158,144
1993,Female,4777,777,822,639,563,533,430,321,258,204,130,101
1994,Female,5816,936,989,728,694,612,508,403,334,285,171,158
1995,Female,5958,926,948,795,706,643,564,391,327,285,190,185
1996,Female,6128,939,998,785,700,667,568,405,345,300,220,202
1997,Female,5804,799,967,772,676,620,542,422,314,289,203,202
1998,Female,6091,803,990,868,683,664,573,425,335,291,215,246
1999,Female,6335,813,1039,854,754,687,601,436,331,279,253,291
2000,Female,5801,686,920,895,722,644,544,414,315,259,180,222
2001,Female,5969,619,955,876,777,672,577,457,342,249,194,251
2002,Female,6119,603,936,912,821,696,592,495,349,253,223,239
2003,Female,5892,532,844,905,807,708,600,479,341,261,191,224
