Table 11.14 - Basic Indicators on Enterprises by Economic Activity (NACE Rev.1.1) 2003 - Part 1 (Employment & Personnel Costs)
Source: TurkStat Statistical Indicators 1923-2011 chunk_007 page 276
Unit: Enterprises=count; Persons_Employed=count; Employees=count; Personnel_Costs=Million_TL
Year: 2003
NACE_Code,Activity_TR,Activity_EN,Number_of_Enterprises,Number_of_Persons_Employed,Number_of_Employees,Personnel_Costs_Million_TL
Total,Genel toplam,General total,1740353,6673968,4626213,47719172700
C,Madencilik ve taşocakçılığı,Mining and quarrying,1710,73704,71908,1299055744
D,İmalat,Manufacturing,236275,2181718,1897521,20005385463
E,Elektrik gaz buhar ve sıcak su üretimi ve dağıtımı,Electricity gas and water supply,3146,101207,101191,2341564418
F,İnşaat,Construction,37473,281466,245575,1706806544
G,Toptan ve perakende ticaret motorlu taşıt onarımı,Wholesale and retail trade repair of motor vehicles,855520,2127046,1113950,8775857267
H,Oteller ve lokantalar,Hotels and restaurants,161386,474994,266646,1794839423
I,Ulaştırma depolama ve haberleşme,Transport storage and communications,236045,667593,394164,6955692482
K,Gayrimenkul kiralama ve iş faaliyetleri,Real estate renting and business activities,93677,420637,321175,2888336790
M,Eğitim,Education,6240,93130,84170,915184371
N,Sağlık işleri ve sosyal hizmetler,Health and social work,32101,105785,70836,575624948
O,Diğer sosyal toplumsal ve kişisel hizmet faaliyetleri,Other community social and personal service activities,76780,146688,59077,460825250
