Table,20.15
Title,Sectoral shares in Gross National Product (At current prices)
Unit,Percent (%)
Source,TurkStat Statistical Indicators 1923-2011
Page,732

Year,Agriculture_pct,Industry_pct,Services_pct
1923,39.6,13.2,47.2
1924,47.4,9.8,42.8
1925,47.8,9.5,42.6
1926,49.4,9.9,40.8
1927,40.9,12.6,46.4
1928,44.0,11.3,44.7
1929,51.6,9.6,38.8
1930,45.5,11.1,43.4
1931,45.1,12.3,42.6
1932,39.9,13.8,46.3
1933,37.3,15.9,46.8
1934,34.1,17.6,48.3
1935,35.3,17.8,47.0
1936,43.1,15.3,41.7
1937,40.8,16.2,43.0
1938,40.1,16.4,43.5
1939,39.0,18.0,43.0
1940,38.5,18.6,42.9
1941,37.0,19.3,43.7
1942,51.2,13.3,35.5
1943,56.5,10.7,32.8
1944,44.1,15.4,40.5
1945,38.3,16.1,45.6
1946,45.6,14.7,39.7
1947,38.4,15.2,46.3
1948,45.2,14.0,40.8
1949,40.1,14.9,44.9
1950,41.7,14.6,43.7
1951,44.8,13.5,41.7
1952,44.6,13.3,42.1
1953,45.0,13.5,41.5
1954,38.4,15.6,46.0
1955,39.0,16.0,45.0
1956,39.3,16.7,44.1
1957,41.9,15.8,42.2
1958,41.7,16.8,41.5
1959,37.3,18.1,44.6
1960,37.9,17.2,44.9
1961,35.6,18.0,46.4
1962,36.3,18.0,45.7
1963,36.1,17.9,46.0
1964,33.8,19.0,47.3
1965,30.8,20.0,49.2
1966,31.3,20.0,48.7
1967,29.5,21.0,49.4
1968,39.8,16.7,43.6
1969,38.8,17.0,44.1
1970,36.7,16.6,46.7
1971,34.5,16.9,48.6
1972,31.3,17.5,51.1
1973,30.7,17.3,52.0
1974,33.0,16.6,50.5
1975,32.7,16.7,50.6
1976,30.6,18.1,51.3
1977,29.5,17.4,53.0
1978,30.2,17.3,52.5
1979,26.7,19.8,53.5
1980,25.5,18.3,56.2
1981,23.5,20.9,55.6
1982,21.9,22.1,56.0
1983,20.7,21.3,58.0
1984,21.0,20.8,58.1
1985,19.7,21.9,58.4
1986,19.2,25.0,55.8
1987,17.2,24.9,57.9
1988,16.7,26.3,57.0
1989,16.2,26.5,57.4
1990,16.8,24.8,58.4
1991,14.5,25.1,60.4
1992,14.1,24.8,61.1
1993,14.7,23.7,61.6
1994,14.7,25.6,59.7
1995,14.8,25.5,59.7
1996,15.7,23.9,60.4
1997,13.4,23.7,62.9
1998,16.5,20.9,62.6
1999,14.4,21.7,63.9
2000,13.5,22.3,64.1
2001,11.6,24.4,64.0
2002,11.5,24.5,64.1
2003,11.7,24.0,64.3
2004,11.1,23.9,65.0
2005,10.1,24.4,65.5
2006,9.0,24.6,66.4
