Table 11.14 - Basic Indicators on Enterprises by Economic Activity (NACE Rev.1.1) 2008 - Part 1 (Employment & Personnel Costs)
Source: TurkStat Statistical Indicators 1923-2011 chunk_008 page 286
Unit: Enterprises=count; Persons_Employed=count; Employees=count; Personnel_Costs=Million_TL
Year: 2008
NACE_Code,Activity_TR,Activity_EN,Number_of_Enterprises,Number_of_Persons_Employed,Number_of_Employees,Personnel_Costs_Million_TL
Total,Genel toplam,General total,2583099,10087751,7380490,117823139049
C,Madencilik ve taşocakçılığı,Mining and quarrying,2442,97742,95429,2332473224
D,İmalat,Manufacturing,321652,2858485,2538318,43682175379
E,Elektrik gaz buhar ve sıcak su üretimi ve dağıtımı,Electricity gas and water supply,2710,96382,96286,3682016087
F,İnşaat,Construction,94781,717148,632832,6668552144
G,Toptan ve perakende ticaret motorlu taşıt onarımı,Wholesale and retail trade repair of motor vehicles,1177710,3127826,1830328,24593410035
H,Oteller ve lokantalar,Hotels and restaurants,210809,665514,442330,4795335211
I,Ulaştırma depolama ve haberleşme,Transport storage and communications,437640,997114,558458,13224534197
K,Gayrimenkul kiralama ve iş faaliyetleri,Real estate renting and business activities,161270,913032,753984,11469874247
M,Eğitim,Education,8561,170500,162770,2773096184
N,Sağlık işleri ve sosyal hizmetler,Health and social work,39279,198071,161480,2990593348
O,Diğer sosyal toplumsal ve kişisel hizmet faaliyetleri,Other community social and personal service activities,126245,245937,108275,1611078993
