Table_Reference,Turkish_Title,English_Title
1.25,"İşgücü durumu ve cinsiyete göre nüfus [15 ve daha yukarı yaştaki nüfus]","Population by labor force and sex [Population 15 years of age and over]"
Units: Persons (absolute numbers)

Census_Year,Sex,Total_15plus,Labor_Force,Not_In_Labor_Force,Unknown
1955,Total,14589543,12205272,2384271,
1960,Total,16327814,12993245,3334569,
1965,Total,18242797,13557860,4684937,
1970,Total,20726989,14051209,6675780,
1975,Total,24017516,16049565,7967951,
1980,Total,27303045,17842451,9344378,116216
1985,Total,31654320,20176918,11401050,76352
1990,Total,36702312,23344778,13357534,
2000,Total,47583832,28038789,19538636,6407
1955,Male,7282983,6943563,339420,
1960,Male,8223517,7697483,526034,
1965,Male,9170015,8420829,749186,
1970,Male,10372680,8784739,1587941,
1975,Male,12267457,10475475,1791982,
1980,Male,13712046,11568457,2063317,80272
1985,Male,15891531,13204998,2643655,42878
1990,Male,18437837,15356998,3080839,
2000,Male,23893642,18134642,5755075,3925
1955,Female,7306560,5261709,2044851,
1960,Female,8104297,5295762,2808535,
1965,Female,9072782,5137031,3935751,
1970,Female,10354309,5266470,5087839,
1975,Female,11750059,5574090,6175969,
1980,Female,13590999,6273994,7281061,35944
1985,Female,15762789,6971920,8757395,33474
1990,Female,18275200,7987780,10276695,10725
2000,Female,23690190,9904147,13783561,2482

Note: Unknown ages included in 15+ population.
