Table 11.14 - Basic Indicators on Enterprises by Economic Activity (NACE Rev.1.1) 2004 - Part 2 (Turnover Production Value-Added)
Source: TurkStat Statistical Indicators 1923-2011 chunk_007 page 279
Unit: Million_TL
Year: 2004
NACE_Code,Activity_TR,Activity_EN,Turnover_Ciro_Million_TL,Production_Value_Uretim_Degeri_Million_TL,Value_Added_at_Factor_Cost_Million_TL
Total,Genel toplam,General total,1047056650467,557320217178,174004663245
C,Madencilik ve taşocakçılığı,Mining and quarrying,6647341905,6640497852,2806543731
D,İmalat,Manufacturing,298230286730,285330450561,66924669484
E,Elektrik gaz buhar ve sıcak su üretimi ve dağıtımı,Electricity gas and water supply,38491666529,38434306728,10622835186
F,İnşaat,Construction,25949136562,27694303821,8055128492
G,Toptan ve perakende ticaret motorlu taşıt onarımı,Wholesale and retail trade repair of motor vehicles,555406362335,81526270825,47578807058
H,Oteller ve lokantalar,Hotels and restaurants,11779106822,11872202493,3389948754
I,Ulaştırma depolama ve haberleşme,Transport storage and communications,75191868295,70468294575,22250978954
K,Gayrimenkul kiralama ve iş faaliyetleri,Real estate renting and business activities,23627795819,23631195598,7914615130
M,Eğitim,Education,2860429771,2857720948,1592545883
N,Sağlık işleri ve sosyal hizmetler,Health and social work,3815804245,3816535307,1700173870
O,Diğer sosyal toplumsal ve kişisel hizmet faaliyetleri,Other community social and personal service activities,5056851454,5048438470,1168416703
