table_number,table_name,source_chunk,pages,unit,methodology,price_base
20.34,Final consumption expenditure of resident and non-resident households on economic territory [At 1998 prices],chunk_026,"767",Billion TL,ESA-95,1998
notes,"2005-2008 data in Thousand TRY. From 1.1.2009 TRY expression changed to TL."

Year,Total_HH_Domestic_Consumption,Food_Beverages_Tobacco,Clothing_Footwear,Housing_Water_Electricity_Gas,Furnishing_HH_Equipment_Maintenance,Health,Transport_Communication,Recreation_Culture,Education,Restaurants_Hotels,Miscellaneous_GoodsServices
1998,49694150,15030838,5980143,5382855,4655046,1283100,7079781,2929786,332127,3272651,3747824
1999,48861561,15378950,5063897,5571260,4718344,1410438,7167692,2843702,313994,2695977,3697306
2000,52804768,15485304,5236391,5856720,5065275,1529846,8317945,3287900,326473,3120052,4578863
2001,49911265,15687242,4967675,5918434,4352965,1584772,6543510,2750300,337998,3298109,4470259
2002,52365143,15643083,5408990,6117540,4642444,1686225,7110100,3211835,371263,3347864,4825799
2003,57160510,16702472,5636806,6405089,5563577,1746174,8463199,3713503,369954,3141618,5418119
2004,62966589,16980704,5927329,6702363,6468312,2098519,10026152,4634719,431065,3354854,6342573
2005,67704926,18453894,5294196,7055831,7903795,2586117,10623473,4603467,512841,3367193,7304119
2006,70792710,19171756,5088646,7378117,8325526,3122291,11414584,4440423,586356,3450607,7814405
2007,74106803,19581003,4979488,7622581,8558280,3643601,12254047,4356760,620892,3524334,8965817
2008,73800315,20010697,4597607,7875062,7992392,3932083,12252005,4053069,646063,3454116,8987221
2009,72348575,20214496,4073329,7968281,7913119,3874085,11514916,3779451,642425,3582346,8786126
2010,76651527,20648574,4656773,8209459,8805342,4217376,12938290,3738230,648284,3593569,9195630
2011,82242216,21998555,5008015,8415098,10011129,4202330,14062332,3918184,707907,3870007,10048658
