Table 8.9 - Employed persons by work place [15+ age] Part 2: 2004-2011 (Bin-Thousand)
Source: TurkStat Household Labour Force Survey Results
Note: (2) Revised by new population projections. Fixed = factories, storehouses, markets, shops, offices, workshops.
Year,Sex,Total,Field,Fixed_Workplace,Mobile,Home,Other
2004,Total,19632,5644,12027,1714,247,
2005,Total,20067,5072,13078,1641,276,
2006,Total,20423,4822,13826,1510,264,
2007,Total,20738,4794,14222,1486,236,
2008,Total,21194,4923,14565,1472,234,
2009,Total,21277,5154,14386,1392,345,
2010,Total,22594,5586,15239,1356,413,
2011,Total,24110,6023,16135,1507,445,
2004,Male,14585,3085,9825,1648,27,
2005,Male,14959,2713,10649,1574,23,
2006,Male,15165,2539,11164,1439,22,
2007,Male,15382,2515,11420,1426,21,
2008,Male,15598,2584,11603,1394,17,
2009,Male,15406,2721,11333,1326,26,
2010,Male,16170,2886,11968,1296,20,
2011,Male,17137,3108,12548,1448,33,
2004,Female,5047,2559,2202,65,220,
2005,Female,5108,2359,2429,67,253,
2006,Female,5258,2283,2662,71,242,
2007,Female,5356,2279,2802,60,215,
2008,Female,5595,2339,2962,78,216,
2009,Female,5870,2433,3053,66,318,
2010,Female,6424,2701,3270,60,393,
2011,Female,6973,2915,3587,59,412,
