Table_11.39,Quarterly Industrial Hours Worked Index (2005=100) - Manufacturing Industry (Selected Subsectors)
Year,Manufacturing_industry_total,Food_products,Beverages,Tobacco_products,Textiles,Wearing_apparel
2005,100.0,100.0,100.0,100.0,100.0,100.0
2006,101.9,104.9,97.9,96.2,97.8,95.3
2007,106.3,111.4,93.4,93.9,101.8,95.8
2008,105.5,116.1,93.1,81.0,93.6,93.3
2009,93.5,117.8,89.6,85.6,79.5,79.5
2010,98.1,121.1,108.6,69.2,84.8,81.9
2011,103.5,124.8,114.0,69.7,88.0,83.2
