Table 11.38 - Quarterly Industrial Employment Index - Main Industrial Groupings
Source: TurkStat Statistical Indicators 1923-2011 chunk_008 page 335
Base year: 2005=100
Unit: Index (2005=100)
Year,Total_Industry,Intermediate_Goods,Durable_Consumer_Goods,Non_Durable_Consumer_Goods,Energy,Capital_Goods
2005,100.0,100.0,100.0,100.0,100.0,100.0
2006,102.8,104.5,106.4,99.2,104.2,105.9
2007,106.7,109.4,107.3,101.7,107.5,113.2
2008,106.3,107.7,106.5,101.3,106.6,117.2
2009,96.2,97.1,96.3,93.3,102.3,99.6
2010,100.5,104.3,101.8,96.2,100.0,102.6
2011,105.9,109.8,110.2,99.6,97.3,115.1
