Table_11.39,Quarterly Industrial Hours Worked Index (2005=100) - Mining and Quarrying
Year,Mining_and_quarrying_total,Mining_coal_and_lignite,Extraction_crude_petroleum_natural_gas,Mining_metal_ores,Other_mining_and_quarrying
2005,100.0,100.0,100.0,100.0,100.0
2006,113.8,114.6,101.2,120.7,113.0
2007,123.5,122.0,112.5,143.9,121.9
2008,125.1,122.2,109.5,155.1,123.9
2009,118.4,118.1,116.8,134.2,114.5
2010,124.1,120.8,116.2,169.3,117.1
2011,128.0,120.1,122.7,199.8,120.2
