Table_8.10,Employed persons by number of employees at work place (15+ age) - continued
Source,TurkStat Household Labour Force Survey Results
Unit,Thousand (Bin)
Note,"(1) Revised by new population projections. Data from 2008 weighted by renewed population projections."

Year,Sex,Total,Workers_1,Workers_2,Workers_3,Workers_4,Workers_5to9,Workers_10to24,Workers_25plus
2004,Total,19632,2559,3675,2298,1559,2487,1376,5678
2005,Total,20067,2415,3832,2222,1463,2547,1543,6045
2006,Total,20423,2361,3894,2241,1484,2470,1654,6319
2007,Total,20738,2258,3988,2221,1467,2465,1643,6696
2008,Total,21194,2265,4030,2163,1478,2464,1734,7060
2009,Total,21277,2314,4169,2220,1519,2457,1698,6900
2010,Total,22594,2391,4317,2417,1615,2604,1828,7422
2011,Total,24110,2522,4504,2538,1660,2934,2045,7907
2004,Male,14585,2042,2535,1626,1071,1854,1060,4397
2005,Male,14959,1842,2674,1601,1051,1961,1193,4637
2006,Male,15165,1840,2665,1599,1066,1917,1246,4832
2007,Male,15382,1757,2721,1570,1050,1918,1244,5122
2008,Male,15598,1763,2727,1523,1042,1898,1306,5339
2009,Male,15406,1695,2778,1551,1069,1877,1260,5176
2010,Male,16170,1687,2818,1661,1108,1975,1354,5567
2011,Male,17137,1754,2893,1707,1128,2223,1509,5923
2004,Female,5047,517,1140,672,488,633,316,1281
2005,Female,5108,573,1158,621,412,585,350,1409
2006,Female,5258,521,1229,642,418,553,408,1487
2007,Female,5356,501,1267,651,417,547,399,1574
2008,Female,5595,502,1303,640,436,566,428,1721
2009,Female,5871,619,1391,669,450,580,438,1724
2010,Female,6424,704,1499,756,507,629,474,1855
2011,Female,6973,768,1611,831,532,711,536,1984
