Table 11.38 - Quarterly Industrial Employment Index - Manufacturing Industry Part 2
Source: TurkStat Statistical Indicators 1923-2011 chunk_008 page 336
Base year: 2005=100
Unit: Index (2005=100)
Year,Leather_Related_Products,Wood_Products_excl_Furniture,Paper_and_Paper_Products,Printing_Reproduction_Recorded_Media,Coke_Refined_Petroleum,Chemicals_Chemical_Products
2005,100.0,100.0,100.0,100.0,100.0,100.0
2006,105.9,113.7,102.2,100.2,97.9,98.5
2007,112.2,114.3,106.4,103.9,100.0,98.1
2008,109.6,105.0,108.7,105.8,107.3,98.0
2009,97.0,87.3,98.0,99.5,103.0,94.4
2010,104.4,97.5,104.7,100.2,104.6,100.6
2011,113.2,99.5,109.5,105.6,100.4,105.6
