Table 20.10 (part A) - Gross National Product by Kind of Economic Activity [At 1948 Prices]
Source: TurkStat Statistical Indicators 1923-2011, pages 716-717
Unit: Million TL (Milyon TL)
Note: Columns 1-6 only (Agriculture and Industry sectors). Columns 7-17 are in chunk_022.

Year,Col1_Agriculture_Total,Col1a_Agriculture_Livestock,Col1b_Forestry,Col1c_Fishing,Col2_Industry_Total,Col2a_Mining_Quarrying,Col2b_Manufacturing,Col2c_Electricity_Gas_Water,Col3_Construction,Col4_Trade,Col5_Transport_Communication,Col6_Financial_Institutions
1923,1270,1255,10,5,310,19,285,7,81,202,95,19
1924,1617,1587,23,7,289,31,250,8,111,229,117,27
1925,1706,1678,21,7,346,27,310,9,141,270,137,41
1926,2254,2224,20,10,398,37,352,9,142,305,151,61
1927,1565,1543,16,7,480,40,430,10,180,315,151,57
1928,1858,1836,14,8,474,44,420,11,201,320,170,67
1929,2643,2616,16,11,493,38,444,12,240,335,195,76
1930,2542,2516,16,11,554,39,501,14,248,338,196,86
1931,2908,2878,17,12,636,41,579,15,165,370,205,89
1932,2074,2050,16,9,745,46,684,16,161,390,192,103
1933,2528,2495,21,11,882,45,820,17,188,435,213,83
1934,2596,2558,27,11,1004,56,929,19,221,488,233,90
1935,2435,2403,22,10,1001,60,922,19,215,481,230,79
1936,3747,3705,26,16,968,59,890,20,244,499,262,87
1937,3612,3565,31,15,1063,65,977,22,253,540,288,85
1938,3809,3758,35,16,1236,71,1141,24,317,626,324,145
1939,3957,3898,42,17,1441,72,1343,26,318,660,355,134
1940,3905,3853,35,17,1292,70,1195,27,308,573,326,93
1941,3261,3230,17,14,1259,74,1159,26,237,537,324,107
1942,3887,3836,35,17,1221,63,1130,28,196,544,368,68
1943,3399,3333,51,14,1197,76,1094,27,250,541,329,44
1944,3037,2988,37,13,1127,83,1014,30,233,497,303,64
1945,2329,2279,41,10,946,83,831,32,229,429,300,76
1946,3592,3536,41,15,1191,79,1079,33,258,541,367,115
1947,3177,3121,42,14,1261,88,1135,39,241,651,449,114
