table_number,table_name,source_chunk,pages,unit,price_base
20.24,Gross Domestic Product by expenditure approach [At 1987 prices],chunk_025,"751-753",Million TL,1987

Year,Private_Final_Consumption_Total,Private_Food_Beverages,Private_Durable_Goods,Private_SemiDurable_NonDurable,Private_Energy_Transport_Communication,Private_Services,Private_Ownership_Dwelling,GFCF_General_Total,GFCF_PublicSector_Total,GFCF_Public_MachineryEquipment,GFCF_Public_BuildingConstruction,GFCF_Public_OtherConstruction,GFCF_PrivateSector_Total,GFCF_Private_MachineryEquipment,GFCF_Private_BuildingConstruction,Govt_Final_Consumption_Total,Govt_Wages_Salaries,Govt_Other_Current,Change_in_Stocks,Exports_Goods_Services,Imports_Goods_Services,GDP
1980,39112914,-,-,-,-,-,-,9816281,4918372,2380779,929626,1607967,4897909,836067,4061842,3864761,3265455,599306,224859,2645283,5368107,50295991
1981,38798497,-,-,-,-,-,-,10190171,5976062,2663824,1189997,2122241,4214109,897794,3316315,4152231,3336675,815556,1143024,4482915,6028167,52738671
1982,41084543,-,-,-,-,-,-,9671558,5682466,2673626,1035329,1973511,3989092,1151541,2837551,4032144,3336079,696065,137225,6135332,6442865,54617937
1983,43439747,-,-,-,-,-,-,10474266,5928773,2742810,1070527,2115436,4545493,1545723,2999770,4632010,3383641,1248369,-256859,6474436,7430604,57332996
1984,44624161,-,-,-,-,-,-,11943920,6183090,2497937,1292741,2392412,5760830,2509469,3251361,4742506,3600313,1142193,341002,8340736,8811162,61181163
1985,45807820,-,-,-,-,-,-,13696318,7442435,3270811,1376060,2795564,6253883,2492887,3760996,4582942,3700082,882860,124997,9358100,9794044,63776133
1986,48616710,-,-,-,-,-,-,15868995,7410613,2961845,1362346,3086422,8458382,3335101,5123281,5112190,3795000,1317190,609120,9469539,11428454,68248100
1987,51018541,20967393,5325207,9191875,6432410,4299492,4802164,18491096,7709848,2721832,1488064,3499952,10781248,4042448,6738800,5845368,3789049,2056319,687452,11642299,13268659,74416097
1988,51637994,21324507,4770777,9123969,6757092,4858287,4803362,18298606,6154493,2529301,1116764,2508428,12144113,4081654,8062459,5782952,3859320,1923632,-692888,13786391,12669761,76143294
1989,51104992,21027113,4670768,8978801,6697050,4801813,4929447,18700871,6348273,2357817,1132038,2858418,12352598,4012393,8340205,5830576,3905583,1924993,520136,13750637,13543103,76364109
1990,57803275,22585078,6918343,10195499,7616033,5437345,5050977,21670017,6915778,2450242,1282708,3182828,14754239,6677230,8077009,6297068,4018923,2278145,1512941,14101599,18014192,83370708
1991,59366317,23643754,7225253,10489964,7707863,5130305,5169179,21763647,6762059,2438467,1099979,3223613,15001588,6953745,8047843,6527627,4117262,2410365,-939037,14626840,17074376,84271019
1992,61281543,24154069,7149263,10607525,8416240,5651994,5302453,23146711,7201924,2679237,1180424,3342263,15944787,7453613,8491174,6764588,4258577,2506011,402050,16235952,18938063,88892781
1993,66544741,25404022,8773872,11394178,9393137,6139683,5439850,29247287,7720820,3155122,1496156,3069542,21526467,11871619,9654848,7344038,4336173,3007865,1486000,17483652,25715191,96390529
1994,62962240,25013864,6012008,10058779,9827327,6457695,5592567,24576941,5346211,1490919,880295,2974997,19230730,8690755,10539975,6937635,4370870,2566765,-2925010,20137735,20089811,91599730
1995,66011353,26122276,6918942,10719008,9914435,6627278,5709414,26822808,4340837,1282346,935132,2123359,22481971,11495371,10986601,7410706,4481489,2929217,1771560,21745571,26033246,97728752
1996,71613583,26752369,9383928,11938079,10440474,7251281,5847452,30597814,5400324,1436447,1217996,2745881,25197490,14392637,10804852,8046869,4468739,3578130,-462715,26520711,31376324,104939938
1997,77620293,26979340,12532729,12974951,10804994,8347750,5980528,35137138,6933253,1956046,1495767,3481440,28203885,17438254,10765631,8378759,4472887,3905872,-1420235,31592739,38416621,112892073
1998,78113348,26947292,12436337,13007985,11336470,8279128,6106137,33768223,7897930,2328763,1870122,3699045,25870293,15300878,10569415,9036188,4738572,4297616,-445894,35382685,39313347,116541203
1999,76076907,27448137,12393411,11934569,10776925,7352435,6171430,28472785,7213079,2228878,1839849,3144352,21259705,11619115,9640591,9622958,4868439,4754519,1895957,32890030,37875726,111082911
2000,80773572,28322184,15786039,12038099,10546859,7909017,6171373,33281095,8629892,2681383,2421670,3526839,24651203,15946359,8704844,10310281,4965378,5344903,3081782,39197683,47497697,119146716
2001,73355859,27307570,10985112,10950396,10639699,7172024,6301058,22782726,6732818,1634314,1936176,3162328,16049908,8044522,8005386,9430327,5045083,4385244,-1698870,42096894,35700132,110266804
2002,74893572,27599586,11213308,11274840,10613303,7778599,6413936,22532047,7325014,1833987,2316983,3174044,15207032,8397821,6809211,9939616,5081678,4857938,6120740,46787009,41350181,118922803
2003,79862275,28731352,13904741,11516609,10846268,8358924,6504381,24782018,6481995,1482476,1698702,3300817,18300023,12268176,6031847,9696644,5124791,4571853,9714000,54263902,52540800,125778039
2004,87896751,29533513,18037505,13683711,10882119,9137396,6622508,32802283,6180113,1701662,1283975,3194476,26622170,19665576,6956594,9747955,5184351,4563604,11145125,61033127,65515450,137109791
2005,95593948,31963746,20736138,15452113,10869022,9849149,6723780,40682570,7778179,2579875,1490477,3707827,32904391,23867433,9036958,9984632,5224953,4759679,7770000,66234713,73065802,147200061
2006,100583755,32954704,21343723,17894581,11182279,10339836,6868632,46373306,7759694,2127936,1393697,4238061,38613612,27190661,11422951,10944160,5328556,5615604,4750000,71857023,78258943,156249301
