Table,11.42 - Employment and basic indicators in financial intermediary institutions by economic activity
Indicator,Annual average number of employees (Ucretle calisanlarin yillik ortalama sayisi)
Source,TurkStat Financial Intermediary Institution Statistics
NACE_Code,Description_TR,Description_EN,2002,2003,2004,2005,2006,2007,2008,2009,2010
K,Finans ve sigorta faaliyetleri,Financial and insurance activities,179569,191452,193190,199557,208704,226936,251491,270636,279897
64,Finansal hizmet faaliyetleri (sigorta ve emeklilik fonlari haric),Financial service activities (except insurance and pension funding),146676,140655,140509,150083,159397,174952,192407,198469,205371
64.11+64.19,"Parasal araci kuruluslarin faaliyetleri (merkez bankasi, ticari bankalar, ozel finans kurumlari)","Monetary intermediation (central bank, commercial banks, special finance houses)",131127,125638,126366,135876,144949,159775,176908,181668,187824
64.91,Finansal kiralama sirketleri,Financial leasing companies,967,1002,1010,1158,1300,1373,1528,1324,1314
64.92,Diger Kredi Verme Faaliyetleri (Tuketici Finansman Sirketleri / Ikrazatcilar ve Tarim Kredi Kooperatifleri),Other Credit Granting (Consumer Financing Companies / Lenders and Agricultural Credit Cooperatives),,,,,,,,6419,6475
64.99,"Baska Yerde Siniflandirilmamis Diger Finansal Hizmet Faaliyetleri (Kalkınma ve Yatirim Bankalari, Faktoring etc.)","Other Financial Service Activities n.e.c. (Banks of Development and Investment, Factoring, Asset Management etc.)",,,,,,,,9058,9758
64.92+64.99 (2002-2008),"Diger kredi verme faaliyetleri ve baska yerde siniflandirilmamis diger finansal hizmet faaliyetleri (tarim kredi kooperatifleri, kalkınma ve yatirim bankalari, faktoring)","Other credit granting and other financial service activities n.e.c. (agricultural credit cooperatives, banks of development and investment, factoring)",14582,14015,13133,13049,13148,13804,13971,,
65,Sigorta ve reasürans ve emeklilik fonlari (zorunlu sosyal guvenlik haric),Insurance reinsurance and pension funding (except compulsory social security),10018,10768,11930,12458,13192,14387,15520,15815,15875
65.11,Hayat sigortasi,Life insurance,4587,4940,5751,5931,6304,7035,7309,7149,6815
65.12+65.20,Hayat sigortasi disindaki sigortalar ve reasürans,Non-life insurance and reinsurance,5431,5828,6179,6527,6888,7352,8211,8666,9060
66,Finansal hizmetler ve sigorta faaliyetleri icin yardimci faaliyetler,Activities auxiliary to financial services and insurance activities,22875,40029,40751,37016,36115,37597,43564,56352,58651
66.11,Finansal Piyasalarin Yonetimi (Borsalar),Administration of Financial Markets (Stock Markets),,,,,,,,572,598
66.12,"Menkul kiymetler ve emtia sozlesmeleri simsarligi (menkul degerler aracilik sirketleri ve doviz burolari)","Security and commodity contracts brokerage (mutual funds companies and foreign exchange offices)",12395,13053,10959,9846,9116,9069,8898,7953,8094
66.19,"Finansal hizmetler icin yardimci diger faaliyetler (sigorta ve emeklilik fonlari haric) (esnaf ve sanatkarlar kredi ve kefalet kooperatifleri)","Other activities auxiliary to financial services (except insurance and pension funding) (credit surety cooperatives of Turkish craftsmen and artisans)",,13220,13236,9218,4047,4165,3624,2535,2892
66.21,Risk ve Hasar Degerlermesi (Sigorta Eksperleri),Risk and Damage Evaluation (Insurance Experts),,,,,,,,2890,3507
66.22,Sigorta acenteleri ve brokerlerin faaliyetleri (sigorta acenteleri - tuzel kisi),Activities of insurance agents and brokers (insurance agents - legal entity),10480,13756,16556,17952,22952,24363,31042,41954,43085
66.30,Fon Yonetim Faaliyetleri (Portfoy yonetim sirketleri),Fund management activities (portfolio management companies),,,,,,,,448,475
Notes,"(1) Agricultural Credit Cooperatives are taken as one enterprise. (2) Life Insurance, Non Life Insurance and Reassurance are included in NACE 65. (3) Credit Surety Cooperatives included from 2003. (4) Special Finance Houses = Participation Banks since 2006. (5) From 2007 commercial banks = deposit money banks. (6) Insurance Brokers included in 2008. (7) Items marked (7) included from 2009. (8) Stock markets include Istanbul Stock Exchange, Derivatives Exchange and Istanbul Gold Exchange. (9) Items marked (9) included from 2010.",,,,,,,,,
