Table_8.12,Unemployed persons by major occupation group sought (15+ age) ISCO-68 Old series
Source,TurkStat Household Labour Force Survey Results
Unit,Thousand (Bin)

Year,Sex,Total,Scientific_Technical_Professional,Administrative_Executive_Managerial,Clerical,Sales,Service,Agricultural_Forestry_Fishing,Nonagricultural_Production_Transport,Workers_Not_Classifiable_By_Occupation,Found_Job_Waiting_To_Start
1988,Total,1639,111,5,399,63,300,39,563,131,28
1989,Total,1707,93,7,321,74,293,97,676,111,35
1990,Total,1612,106,8,323,71,332,81,588,56,48
1991,Total,1724,113,6,300,68,307,55,615,210,53
1992,Total,1805,119,9,322,68,368,53,677,141,50
1993,Total,1815,111,6,337,84,378,47,608,181,66
1994,Total,1870,128,6,350,89,367,39,680,159,56
1995,Total,1701,125,6,324,87,250,134,651,87,40
1996,Total,1502,130,7,334,73,221,47,564,81,46
1997,Total,1550,140,8,386,81,200,36,533,113,56
1998,Total,1605,157,10,406,81,213,35,568,77,61
1999,Total,1829,154,9,474,101,269,44,655,62,64
2000,Total,1499,134,5,312,91,205,78,561,61,52
2001,Total,1966,176,10,325,139,317,57,891,8,43
2002,Total,2463,232,24,354,189,385,109,1054,19,97
2003,Total,2492,234,28,313,183,349,257,1007,24,97
1988,Male,1018,64,4,182,40,204,28,392,86,18
1989,Male,1114,55,5,143,53,188,52,496,96,26
1990,Male,1089,60,5,138,53,235,52,464,43,40
1991,Male,1272,65,4,143,49,226,36,535,170,44
1992,Male,1321,67,6,169,50,268,33,580,116,35
1993,Male,1325,67,5,171,58,271,37,513,157,48
1994,Male,1361,63,4,182,61,266,25,583,137,42
1995,Male,1231,73,5,165,56,194,96,542,74,28
1996,Male,1116,75,7,160,59,178,28,509,69,33
1997,Male,1063,72,7,172,53,143,32,456,92,38
1998,Male,1161,93,8,204,60,155,24,515,59,46
1999,Male,1312,81,5,246,64,208,35,576,51,47
2000,Male,1111,77,4,159,63,159,48,508,55,38
2001,Male,1483,108,7,147,102,245,45,795,4,30
2002,Male,1826,131,14,151,134,292,74,959,11,60
2003,Male,1829,133,19,129,135,263,164,915,11,60
1988,Female,621,47,1,217,23,96,11,171,45,10
1989,Female,593,38,2,178,21,105,45,180,15,9
1990,Female,524,46,3,185,18,97,30,124,14,9
1991,Female,453,48,2,157,19,81,19,80,40,9
1992,Female,484,52,4,153,18,101,21,97,25,16
1993,Female,490,44,1,166,27,108,10,95,24,18
1994,Female,509,65,2,168,28,101,14,97,22,14
1995,Female,470,52,1,159,31,56,38,109,13,12
1996,Female,386,55,0,175,14,43,20,56,12,13
1997,Female,487,69,1,214,28,57,4,77,21,18
1998,Female,444,64,2,202,21,59,11,54,18,16
1999,Female,517,73,4,228,37,61,9,79,12,17
2000,Female,388,57,1,153,28,46,30,53,6,14
2001,Female,483,68,3,178,37,72,12,96,4,13
2002,Female,637,101,10,203,55,93,35,95,8,37
2003,Female,663,101,9,184,48,86,93,92,13,37
