Table,18.1,Para Stoku / Money Stock (M1 M2),Source: T.C. Merkez Bankasi
Unit,Million TL (Milyon TL),,,,,,
Year,Currency_Outside_Banks_Col1,Demand_Deposits_Retail_Banks_Col2,Demand_Deposits_Central_Bank_Col3,M1_Narrow_Col4,Time_Deposits_Retail_Banks_Col5,M2_Broad,M1_GNP_ratio,M2_GNP_ratio
1949,847,555,8,1410,146,1556,0.16,0.17
1950,900,681,13,1594,180,1774,0.16,0.18
1951,1048,944,26,2018,183,2201,0.17,0.19
1952,1146,1230,45,2421,155,2576,0.18,0.19
1953,1333,1602,12,2947,235,3182,0.19,0.20
1954,1379,1968,25,3372,245,3617,0.21,0.23
1955,1805,2399,10,4214,297,4511,0.22,0.24
1956,2322,3029,10,5361,336,5697,0.24,0.26
1957,2936,3916,15,6867,395,7262,0.23,0.25
1958,3052,4277,92,7421,452,7873,0.21,0.22
1959,3406,5136,157,8699,533,9232,0.20,0.21
1960,3828,5259,169,9256,788,10044,0.20,0.22
1961,4140,5655,230,10025,1093,11118,0.20,0.22
1962,4527,6234,203,10964,1161,12125,0.19,0.21
1963,4926,7047,194,12167,1571,13738,0.18,0.21
1964,5835,8141,23,13999,1798,15797,0.20,0.22
1965,6326,10083,25,16434,2651,19085,0.21,0.25
1966,7164,12591,25,19780,3662,23442,0.22,0.26
1967,8714,13952,16,22682,4419,27101,0.22,0.27
1968,8237,17726,5,25968,5430,31398,0.16,0.19
1969,9081,21032,14,30127,6439,36566,0.16,0.20
1970,11900,23400,100,35400,8900,44300,0.17,0.21
1971,13900,29600,100,43600,13000,56600,0.17,0.22
1972,16000,36700,200,52900,18000,70900,0.17,0.23
1973,20700,49000,100,69800,20500,90300,0.17,0.23
1974,26200,62300,300,88800,24500,113300,0.17,0.21
1975,32900,84300,400,117600,29000,146600,0.17,0.21
1976,42500,107600,300,150400,30800,181200,0.17,0.21
1977,63000,145400,800,209200,34400,243600,0.19,0.22
1978,93900,189300,500,283700,44400,328100,0.17,0.20
1979,143700,298100,2600,444400,83300,527700,0.15,0.18
1980,217600,483400,3000,704000,177900,881900,0.13,0.17
1981,280600,687000,4500,972100,665100,1637200,0.12,0.20
1982,411800,926700,3400,1341900,1212300,2554200,0.13,0.24
1983,547600,1374000,19400,1941000,1347400,3288400,0.14,0.24
1984,735500,1485400,31800,2252700,2926300,5179000,0.10,0.23
1985,1011400,2177400,19900,3208700,4936800,8145500,0.09,0.23
