Table_Reference,Turkish_Title,English_Title
1.4,"Belediye sayısı ve nüfusu (ADNKS)","Number and population of municipalities (ABPRS)"

Year,Total_Municipalities,Total_Municipality_Population,Metropolitan,Province,District,Town_Submunicipality
2007,3225,58538501,16,65,850,2294
2008,2954,59093094,16,65,892,1981
2009,2951,60264546,16,65,892,1978
2010,2950,61571332,16,65,892,1977
2011,2950,62678751,16,65,892,1977

Source: Results of Address Based Population Registration System (ABPRS)
Note: 2008 figure includes 43 new districts established under Law No. 5747.
