Table,20.17
Title,Sectoral shares in Gross Domestic Product (At current prices)
Unit,Percent (%)
Source,TurkStat Statistical Indicators 1923-2011
Pages,734-735
Note,2011 data are preliminary (*)

Year,1a_Agriculture_forestry_hunting_pct,1b_Fishing_pct,2a_Mining_quarrying_pct,2b_Manufacturing_pct,2c_Electricity_gas_water_pct,3_Construction_pct,4_Wholesale_retail_trade_pct,5_Hotels_restaurants_pct,6_Transport_storage_communication_pct,7_Financial_intermediation_pct,8_Ownership_of_dwelling_pct,9_Real_estate_renting_business_pct,10_Public_admin_defence_pct,11_Education_pct,12_Health_social_work_pct,13_Other_community_social_personal_pct,14_Private_households_employed_persons_pct,15_Total_sectors_pct,16_FISIM_minus_pct,17_Taxes_minus_subsidies_pct,18_GDP_purchasers_price_pct
1998,12.1,0.3,1.0,23.9,1.9,5.8,14.0,2.5,11.0,7.6,5.0,2.5,4.0,2.2,1.2,1.6,0.1,96.9,,8.2,100.0
1999,10.2,0.3,0.9,21.9,2.0,5.4,12.4,2.2,11.6,10.2,7.3,2.6,4.9,2.6,1.4,1.6,0.1,97.7,,9.0,100.0
2000,9.9,0.2,1.0,20.1,2.0,5.0,12.7,2.4,12.2,7.0,8.7,2.6,4.5,2.4,1.3,1.6,0.1,93.6,,10.8,100.0
2001,8.6,0.2,1.0,19.1,2.4,4.5,12.1,2.4,13.3,8.6,8.8,2.8,4.7,2.5,1.3,1.6,0.1,94.1,,11.1,100.0
2002,10.1,0.2,0.9,17.8,2.3,4.2,12.2,2.3,14.0,4.4,8.1,3.3,4.6,2.7,1.4,1.8,0.1,90.5,,12.1,100.0
2003,9.7,0.2,1.0,17.7,2.2,4.0,12.3,2.2,13.8,3.4,8.3,3.3,4.6,2.8,1.5,1.9,0.1,89.0,,12.9,100.0
2004,9.3,0.2,1.1,17.4,1.9,4.4,12.7,2.3,13.6,3.3,8.6,3.4,4.5,2.7,1.5,1.7,0.1,88.5,,13.2,100.0
2005,9.1,0.3,1.2,17.3,1.8,4.4,12.4,2.2,13.7,2.8,9.3,3.5,4.0,2.7,1.6,1.6,0.2,88.1,,13.3,100.0
2006,8.0,0.2,1.2,17.2,1.8,4.7,12.5,2.2,13.7,2.9,9.8,3.7,3.9,2.8,1.6,1.7,0.2,88.1,,13.2,100.0
2007,7.4,0.2,1.2,16.8,1.9,4.9,12.2,2.3,13.9,3.2,10.8,4.1,3.9,2.9,1.6,1.7,0.2,89.5,,12.1,100.0
2008,7.4,0.2,1.4,16.2,2.2,4.7,12.2,2.2,14.2,3.5,11.2,4.3,3.8,2.9,1.6,1.7,0.2,89.9,,11.7,100.0
2009,8.1,0.2,1.5,15.2,2.4,3.8,10.9,2.5,13.4,4.5,12.3,4.7,4.3,3.3,1.7,1.7,0.2,90.8,2.3,11.5,100.0
2010,8.3,0.2,1.4,15.7,2.3,4.2,11.0,2.3,13.1,3.7,11.2,4.8,4.2,3.3,1.6,1.7,0.2,89.2,1.8,12.5,100.0
2011,7.8,0.2,1.5,16.2,2.2,4.4,12.0,2.3,13.6,3.1,10.0,4.7,4.0,3.3,1.5,1.7,0.2,88.7,1.3,12.7,100.0
