Table_Reference,Turkish_Title,English_Title
1.23,"Ekonomik faaliyet ve cinsiyete göre istihdam edilen nüfus [15 ve daha yukarı yaştaki nüfus]","Employed population by economic activity and sex [Population 15 years of age and over]"
Units: Persons (absolute numbers)

Census_Year,Sex,Total,Agriculture_Hunting_Forestry_Fishing,Mining_Quarrying,Manufacturing,Electricity_Gas_Water,Construction
1955,Total,12205272,9446102,62645,726522,16071,200204
1960,Total,12993245,9737489,77329,884659,15484,290084
1965,Total,13557860,9750269,86620,960950,26329,351147
1970,Total,14051209,9281024,110077,1230682,14544,431074
1975,Total,16049565,10458286,111237,1395232,19742,523823
1980,Total,17219571,9972361,131522,1888743,32989,753257
1985,Total,19208608,10950844,136539,2095849,23183,740505
1990,Total,22085711,11506708,130294,2649267,80205,1167561
2000,Total,25527737,12202401,95877,3227365,98083,1189904
1955,Male,6943563,4413279,61460,606651,15656,198400
1960,Male,7697483,4706481,76359,740770,15105,287982
1965,Male,8420829,4914212,85507,883531,25885,349343
1970,Male,8784739,4593909,106300,960258,13678,422291
1975,Male,10475475,5578561,109840,1155639,17544,519053
1980,Male,11049361,4638185,130262,1607250,31094,748780
1985,Male,12380213,5102440,134743,1785611,22095,734000
1990,Male,14323864,5199961,128693,2131988,74545,1157264
2000,Male,16346815,5294351,93187,2621394,89704,1170580
1955,Female,5261709,5032823,1185,119871,415,1804
1960,Female,5295762,5031008,970,143889,379,2102
1965,Female,5137031,4836057,1113,77419,444,1804
1970,Female,5266470,4687115,3777,270424,866,8783
1975,Female,5574090,4879725,1397,239593,2198,4770
1980,Female,6170210,5334176,1260,281493,1895,4477
1985,Female,6828395,5848404,1796,310238,1088,6505
1990,Female,7761847,6306747,1601,517279,5660,10297
2000,Female,9180922,6908050,2690,605971,8379,19324

Note: Unknown ages included in 15+ population. Does not cover unemployed job-seekers in 1980, 1985, 1990 and 2000.
